Job Title,Location,Date Posted,Description,Responsibilities,Minimum Qualifications,Preferred Qualifications,Apply Link
IN-Business Pro,India,24-Feb-25,"Apple Retail is where the best of Apple comes together. We bring our expertise to help people do what they love, delivering an only-at-Apple experience. We believe inclusion is a shared responsibility and we work together to foster a culture where everyone belongs and is inspired to do their best work.

As a Business Pro, you’re part of a team that’s passionate about helping businesses succeed. The Business Pro develops and grows relationships with high-potential business customers, and builds loyalty by maintaining those relationships. You have strong business and sales acumen, and knowledge of Apple products and services, key Small Medium Business (SMB) industries, business challenges, and trends in your local community.

You serve as a resource and mentor for the broader team, and help support an environment where business is integrated into the store culture. You partner with store leadership to find opportunities to connect customers with powerful tools and solutions that help their businesses thrive.","Establish and engage business customers by showcasing our technology and helping them discover how Apple and third-party products and solutions can enhance and support their businesses and enrich the lives of their customers and employees.

Proactively engage with and provide excellent customer service to Apple Retail Business customers by seeking to understand their needs, identifying ownership opportunities, presenting products and services, and educating them on relevant ways to buy.

Serve as the go-to expert on business solutions, and mentor the store team on business customer needs and solutions.

Collaborate across the Apple Store in business sessions, briefings, workshops, and events by identifying and recommending unique offerings to fit customers’ business needs.

Partner with leadership and cross-functional partners to transition accounts in line with account engagement strategy to help create a seamless customer experience.

Strategize, plan, and forecast business performance through account management, pipeline building, and opportunity management, using Customer Relationship Management (CRM) and other tools.

Maintain process mastery of all Retail Business programs and offerings to guarantee compliance with policies and procedures.

Perform other tasks as needed, including but not limited to supporting customer-facing activities.

Contribute to an inclusive environment by respecting each other’s differences and having the curiosity to learn.

Demonstrate Apple’s values of inclusion and diversity in daily activities.","You should:
Be available to work a schedule based on business needs that may include nights, weekends, and public holidays in the retail store, and reliably attend work as scheduled, in line with local laws and subject to any approved accommodations.
Have experience in retail or sales, or related work experience.
Have extensive business solutions experience with Apple products and services.","You can:
Show a track record of strong performance and results in technology or business solutions sales.
Communicate effectively and tailor your communication style to different audiences.
Work in a fast-paced environment and make timely decisions, sometimes under tight deadlines and pressure.
Build rapport and work effectively with both internal and external customers, including business owners and executives.
Demonstrate excellent organizational and process management skills, the ability to set priorities, and responsiveness to customer requests.
Demonstrate excellent learning, negotiation, interpersonal, and customer service skills.
Draw from advanced Apple expertise on mobility adoption and business transformation with general knowledge of key SMB industries, technology trends, and challenges.
Learn, navigate, and use new tools and systems.",https://jobs.apple.com/en-in/login?favId=PIPE-200314003
IN-Business Expert,India,24-Feb-25,"Apple Retail is where the best of Apple comes together. We bring our expertise to help people do what they love, delivering an only-at-Apple experience. We believe inclusion is a shared responsibility and we work together to foster a culture where everyone belongs and is inspired to do their best work.

As a Business Expert, you’re part of a team that’s passionate about helping businesses succeed. You create owners by connecting with new and existing business customers to identify opportunities, propose solutions, forecast needs, and close sales. Your knowledge of industry trends and expertise with Apple products and services — along with third-party technologies — help you to develop business solutions tailored to the needs of customers.

You’re a top sales performer who has exceptional interpersonal and influencing skills, and you’re considered a resource to the wider store team, inspiring an environment where Apple Retail Business is a part of everyone’s role.","Establish and engage business customers by showcasing our technology and helping them discover how Apple and third-party products and solutions can enhance and support their businesses and enrich the lives of their customers and employees.

Proactively engage with and provide excellent customer service to Apple Retail Business customers by seeking to understand their needs, identifying ownership opportunities, presenting products and services, and educating them on relevant ways to buy.

Serve as the go-to expert and store team mentor on business customer needs and solutions.

Collaborate across the Apple Store in business sessions, briefings, workshops, and events by identifying and recommending unique offerings to fit customers’ business needs.

Lay a foundation for long-term relationships between local business customers and Apple Retail through proactive and informative engagement, exceptional service, and tailored recommendations.

Maintain accurate business customer contact and relationship information in our Customer Relationship Management app so Apple has accurate business intelligence. 

Perform other tasks as needed, including but not limited to providing customer service and support in other areas of the store.

Contribute to an inclusive environment by respecting each other’s differences and having the curiosity to learn.

Demonstrate Apple’s values of inclusion and diversity in daily activities.","You should:
Be available to work a schedule based on business needs that may include nights, weekends, and public holidays in the retail store, and reliably attend work as scheduled, in line with local laws and subject to any approved accommodations.
Have experience in retail or sales, or related work experience.
Have experience with Apple products, services, and solutions.","You can:
Show a track record of strong performance and results.
Communicate effectively and tailor your communication style to different audiences.
Work in a fast-paced environment and make timely decisions, sometimes under tight deadlines and pressure.
Build rapport and work effectively with both internal and external customers, including business owners and executives.
Demonstrate excellent organizational skills, the ability to set priorities, and responsiveness to customer requests.
Draw from a deep technical understanding of Apple products and services, both in store and online, along with expertise in business solutions and industry trends.
Learn, navigate, and use new tools and systems.",https://jobs.apple.com/en-in/login?favId=PIPE-200313970
IN-Creative,India,24-Feb-25,"Apple Retail is where the best of Apple comes together. We bring our expertise to help people do what they love, delivering an only-at-Apple experience. We believe inclusion is a shared responsibility and we work together to foster a culture where everyone belongs and is inspired to do their best work.

As a Creative, you foster a learning environment for our customers by helping them set up their products and connect their interests to the Apple ecosystem. Through Apple-led sessions and events, you use your knowledge and interpersonal skills to inspire customers to discover, own, and love Apple products.","Deliver engaging Today at Apple sessions to encourage strong customer participation.

Generate excitement, engagement, and enthusiasm among customers for Apple products and services through Today at Apple programming and events.

Create interactive customer experiences that help others get the most from the Apple ecosystem.

Drive ownership by recommending solutions that meet customer needs.

Support customers in setting up their devices.

Demonstrate familiarity with internal support resources available to customers who want to expand their technical knowledge.

Perform other tasks as needed, including but not limited to supporting customer-facing activities on or off the sales floor.

Contribute to an inclusive environment by respecting each other’s differences and having the curiosity to learn.

Demonstrate Apple’s values of inclusion and diversity in daily activities.","You should:
Be available to work a schedule based on business needs that may include nights, weekends, and public holidays in the retail store, and reliably attend work as scheduled, in line with local laws and subject to any approved accommodations.
Have experience in retail or sales, or related work experience.","You can:
Draw from experience with teaching or public presentations and be comfortable presenting to live audiences.
Adapt facilitation styles to meet the needs of the audience with many learning styles, sizes, and settings.
Understand the benefits of the Apple ecosystem and influence others to see those benefits.
Work in a team environment, demonstrating shared responsibility and accountability with other team members.
Work in a fast-paced environment and balance multiple priorities at the same time.",https://jobs.apple.com/en-in/login?favId=PIPE-200313991
IN-Expert,India,24-Feb-25,"Apple Retail is where the best of Apple comes together. We bring our expertise to help people do what they love, delivering an only-at-Apple experience. We believe inclusion is a shared responsibility and we work together to foster a culture where everyone belongs and is inspired to do their best work.

As an Expert, you possess a deep understanding of our products and services across the Apple ecosystem. You excel at selling products, offering all of Apple’s services, and delivering an exceptional customer experience. An Expert exemplifies what great customer engagement looks like, and mentors others on how to achieve results.","Demonstrate and sustain top-performing sales and service to Apple customers by seeking to understand their needs, identifying ownership opportunities, presenting products and services, and educating customers on relevant ways to buy products.

Be knowledgeable about and proactively stay up to date on Apple’s products, services, purchase options and Product Zone sales processes. 

Support your peers throughout the store as needed by sharing knowledge about Apple’s products, services, and purchase options, and assist in offering ownership opportunities. 

Maintain accuracy and follow guidance.

Perform other tasks as needed, including but not limited to providing customer service and support in other areas of the store. 

Contribute to an inclusive environment by respecting each other’s differences and having the curiosity to learn.

Demonstrate Apple’s values of inclusion and diversity in daily activities.","You should:
Be available to work a schedule based on business needs that may include nights, weekends, and public holidays in the retail store, and reliably attend work as scheduled, in line with local laws and subject to any approved accommodations.
Have experience in retail or sales, or related work experience.","You can:
Demonstrate knowledge of Apple products and services.
Show a track record of producing top-performing sales and customer experience results.
Personalize solutions based on customer needs, and effectively communicate them.
Solve customer concerns using care, learning, and presentation skills.
Work in a fast-paced environment, often supporting multiple customers at the same time.
Learn about and deepen your understanding of Apple products and services, and third-party products, to enhance the customer experience.
Support and educate the broader team by sharing knowledge, experiences, and insights.",https://jobs.apple.com/en-in/login?favId=PIPE-200314010
IN-Genius,India,24-Feb-25,"Apple Retail is where the best of Apple comes together. We bring our expertise to help people do what they love, delivering an only-at-Apple experience. At Apple, we believe inclusion is a shared responsibility and we work together to foster a culture where everyone belongs and is inspired to do their best work.

As a Genius, you combine extensive functional troubleshooting skills with an ability to inspire excitement for Apple’s products and services. You deliver exceptional service and empower customers to get the most out of their Apple products and services. A Genius makes sure customers are educated about repair options and Apple offerings, and performs repairs on all Apple products serviced in the store. 

A Genius excels in repairing relationships with customers and demonstrates the high standard of service and support in our retail stores. You enhance team knowledge by modeling exceptional service and educating and mentoring team members.","Have extensive knowledge and stay up to date on all Apple products, services, and Genius Bar repair processes and procedures to support efficient and high-quality repairs.

Support customers having Apple product or software issues with care and empathy, using all tools and resources provided by Apple. 

Troubleshoot, diagnose, repair, and resolve service concerns for Apple hardware and software. 

Provide excellent service to Apple customers by seeking to understand their needs, identifying ownership opportunities, presenting product and service recommendations, and educating customers on relevant ways to buy.

Work with team leaders to identify recurring repair problems and other service concerns, and make sure that feedback is provided to Apple.

Use extensive knowledge of hardware and software components to identify where technical concerns may originate from and educate others on the team.

Serve as a Mentor, resource, and positive role model for Genius Bar team members. 

Support leadership in providing timely resolution to customer escalations.

Perform other tasks as needed, including but not limited to supporting customer-facing activities on or off the sales floor.

Contribute to an inclusive environment by respecting each other’s differences and having the curiosity to learn.

Demonstrate Apple’s values of inclusion and diversity in daily activities.","You should:
Be available to work a schedule based on business needs that may include nights, weekends, and public holidays in the retail store, and reliably attend work as scheduled, in line with local laws and subject to any approved accommodations.
Have experience in retail or sales, or related work experience.
Possess the visual inspection and fine motor skills to safely perform hardware repairs.
Have experience troubleshooting hardware and software issues in a customer service environment.","You can:
Demonstrate technical expertise of Apple products and services, including repairing devices.
Analyze problems and follow troubleshooting steps to identify the root cause of a technical issue.
Navigate customer service issues with care and strong interpersonal skills.
Apply an action-oriented mindset and sense of motivation to do what’s best for the customer and Apple, often anticipating and adjusting for problems and roadblocks.
Work in a fast-paced environment, often under tight deadlines and pressure, while supporting multiple customers or hardware repairs at the same time.
Communicate effectively and tailor your communication style to different audiences.
Collaborate and motivate across the store and and among key partners to achieve individual and overall team goals.
Support and educate the broader team by sharing knowledge, experiences, and insights.
Frequently handle, lift, and move merchandise safely.",https://jobs.apple.com/en-in/login?favId=PIPE-200314015
IN-Operations Expert,India,24-Feb-25,"Apple Retail is where the best of Apple comes together. We bring our expertise to help people do what they love, delivering an only-at-Apple experience. We believe inclusion is a shared responsibility and we work together to foster a culture where everyone belongs and is inspired to do their best work.

As an Operations Expert, you help drive sales and the customer experience by delivering  excellence in operations, inventory accuracy, and preservation activities. You have a deep understanding of operational practices and mentor the Operations team to complete operational tasks accurately and in accordance with Retail Inventory processes.","Complete inventory receiving, counting, returning, and shipping tasks in compliance with Retail Inventory processes, and mentor and support team members in doing so.

Complete product fulfillment tasks and deliver items from Runner requests to customers and team members in support of creating an exceptional customer experience. 

Support Operations Specialists by sharing knowledge about the Retail Inventory processes. 

Promote understanding of inventory performance among all store team members and gather inventory data to aid with leadership decision-making. 

Monitor all inventory, including non-sellable product, in the inventory management system for accuracy and consistency, and to identify variance trends and understand their root causes. 

Perform other tasks as needed, including but not limited to supporting customer-facing activities.

Contribute to an inclusive environment by respecting each other’s differences and having the curiosity to learn.

Demonstrate Apple’s values of inclusion and diversity in daily activities.","You should:
Be available to work a schedule based on business needs that may include nights, weekends, and public holidays in the retail store, and reliably attend work as scheduled, in line with local laws and subject to any approved accommodations.
Be able to lift and carry product to various locations within and near the store.
Have experience in retail or sales, or related work experience.","You can:
Focus on the customer experience, with an emphasis on serving both the internal and external customer.
Be a self-starter who is detail-oriented, organized, and can work without close supervision.
Prioritize workload and meet deadlines in a fast-paced environment.
Work in a team environment, demonstrating shared responsibility and accountability with other team members.
Demonstrate effective problem solving, analytical, and communication skills.",https://jobs.apple.com/en-in/login?favId=PIPE-200314033
IN - Specialist,India,24-Feb-25,"Apple Retail is where the best of Apple comes together. We bring our expertise to help people do what they love, delivering an only-at-Apple experience. We believe inclusion is a shared responsibility and we work together to foster a culture where everyone belongs and is inspired to do their best work.

As a Specialist, you build brand loyalty and create owners of Apple products and services. You’re dedicated to selling and delivering a customer service experience that is unlike any other. A Specialist is curious — you ask questions to learn about our customers’ needs, customizing recommendations to enrich their lives.","Deliver excellent service to Apple customers by seeking to understand their needs, identifying ownership opportunities, presenting products and services, and educating customers on relevant ways to buy products.

Understand and proactively stay up to date on Apple’s products, services, purchase options, and Product Zone sales processes.

Support your peers throughout the store as needed by sharing knowledge about Apple’s products, services, and purchase options, and assist in offering ownership opportunities.

Maintain accuracy and follow guidance.

Perform other tasks as needed, including but not limited to providing customer service and support in other areas of the store.

Contribute to an inclusive environment by respecting each other’s differences and having the curiosity to learn.

Demonstrate Apple’s values of inclusion and diversity in daily activities.","You should have availability to work a schedule based on business needs that may include nights, weekends, and public holidays in the retail store, and reliably attend work as scheduled, in line with local laws and subject to any approved accommodations.","You can:
Demonstrate knowledge of Apple products and services.
Personalize solutions based on customer needs, and effectively communicate them.
Work in a fast-paced environment, often supporting multiple customers at the same time.
Work in a team environment, demonstrating shared responsibility and accountability with other team members.
Be curious and open to learning from others and helping each other grow.
Learn about and deepen your understanding of Apple products and services, and third-party products, to enhance the customer experience.
Be trusted with sensitive or confidential information, keeping with Apple’s core values.",https://jobs.apple.com/en-in/login?favId=PIPE-200314117
IN-Technical Specialist,India,24-Feb-25,"Apple Retail is where the best of Apple comes together. We bring our expertise to help people do what they love, delivering an only-at-Apple experience. At Apple, we believe inclusion is a shared responsibility and we work together to foster a culture where everyone belongs and is inspired to do their best work.

As a Technical Specialist, you offer technical support and skilled troubleshooting for all customers while also generating excitement for Apple’s products and services. You deliver exceptional service and empower customers to get the most out of their Apple products. 

A Technical Specialist also makes sure customers are educated about repair options and Apple products and services.","Develop knowledge and stay up to date on Apple products, services, and Genius Bar repair processes to support efficient and high-quality repairs.

Support customers having Apple product or software issues with care and empathy, using all tools and resources provided by Apple.

Troubleshoot, diagnose, and resolve service concerns for select Apple hardware and software.

Work with team leaders to identify recurring repair problems and other service concerns, and make sure that feedback is provided to Apple.

Provide excellent service to Apple customers by seeking to understand their needs, identifying ownership opportunities, presenting product and service recommendations, and educating customers on relevant ways to buy.

Perform other tasks as needed, including but not limited to supporting customer-facing activities on or off the sales floor.

Contribute to an inclusive environment by respecting each other’s differences and having the curiosity to learn.

Demonstrate Apple’s values of inclusion and diversity in daily activities.","You should have availability to work a schedule based on business needs that may include nights, weekends, and public holidays in the retail store, and reliably attend work as scheduled, in line with local laws and subject to any approved accommodations.","You can:
Demonstrate technical expertise of Apple products and services.
Follow troubleshooting steps to identify the root cause of a technical issue in a customer service environment.
Navigate customer service issues with care and strong interpersonal skills.
Consistently learn about and deepen your understanding of Apple products and services and third party products to enhance the customer experience.
Work in a fast-paced environment and balance multiple tasks at the same time.
Work well in a team environment, demonstrating shared responsibility and accountability with other team members.
Be trusted with sensitive or confidential information, keeping with Apple’s core values.
Be curious and open to learning from others and helping each other grow.",https://jobs.apple.com/en-in/login?favId=PIPE-200314122
Manufacturing Design Engineer- Assembly,India,24-Feb-25,"Imagine what you could do here. At Apple, innovative ideas quickly become extraordinary products, services, and customer experiences. This is where individual imaginations and experiences gather, leading to great work. Bring passion and dedication to your job, and there's no telling what you could accomplish.

The people here at Apple don’t just create products — they make the kind of wonder that’s revolutionized entire industries. The diversity of those people and their ideas inspire the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it.

The Apple Manufacturing Design Engineer (MDE) is accountable for owning the development and implementation of innovative manufacturing processes across Apple’s worldwide supply base. In this highly collaborative role, you will work closely with Apple Industrial Design, Product Design, and Manufacturing Design partners and our worldwide suppliers. This role is empowered to bring creativity to Apple’s manufacturing approach, enabling us to deliver our best work to as many customers as possible.","This role is a part of collaborative environment contributing to the creation, evaluation, and implementation of end-to-end manufacturing solutions for Apple’s iPhone enclosures. You will collaborate closely with cross-functional stakeholders in Quality Engineering, Global Supply Management, Product Design, and Industrial Design in order to ensure our manufacturing solutions meet our product quality, cost, yield, capacity, schedule, and environmental goals.

We seek an individual who will:
-  Evaluate product and industrial design goals to understand the dimensional, cosmetic, and functional priorities for the product

-  Collaborate with Global Supply Managers and Apple’s manufacturing suppliers to align on a manufacturing development strategy with clear goals, deliverables, and schedule

-  Identify and validate suitable fabrication equipment and processes to meet all Apple design and operational requirements

-  Develop and document processes, including all parameters, consumables, and secondary operation requirements to meet defined specifications

-  Conduct process optimization DOE’s, using data-driven and hands-on approaches together to find solutions to complex challenges

-  Communicate ongoing process development status to cross-functional teams and lead discussions to align design requirements with manufacturing capability

- Travel within India to support manufacturing partner sites and collaborate with in-region team members

- Familiarity with a phase gate product development approach

You may be asked to lead development in one or more of the following areas:

-  Assembly - Develop all assembly processes. Includes incorporating welding, gluing/adhesives, and mechanical fit based processes. Support qualification of equipment at suppliers, including detailed documentation of process parameters. Own yield improvement actions and process change decisions based on statistical process control (SPC) data analysis. Identify automation opportunities and support automation projects based on automation line efficiency metrics.

-  Develop fully automated SPM or integrated assembly automation in line with multiple manufacturing processes (gluing, laser welding, mechanical fastening, riveting, film lamination, spray coating, auto-wiping)

-  Extensive knowledge in design of automation/equipment including mechanical/electrical component selection, mechanical/structural design of machine, electrical diagram and routing, layout and part flow design, fixture design, robot arm integration, CCD programming, PLC programming, running automation simulations, understanding of industrial safety standards for equipment

-  Drive entire development cycle of equipment including: RFQ, ROI calculation, prototype machine design, DOE, production machine BOM finalization, DFMEA/PFMEA, FAT/SAT, safety evaluations, installation/operational/production qualification, maintenance, documentation and implementation, CT/OEE optimization, flexible/modular design for high YoY re-use","5+ years of experience in high-volume mechanical product development, manufacturing engineering, tooling engineering, high-precision fabrication, or similar roles
BS or higher in mechanical, manufacturing, industrial engineering, or related fields
Hands-on experience in the following expertise: robotics, laser etching, laser welding, adhesive dispensing, potting, mechanical fastening, automation
Understanding core principles of fixture and automation design, including the use of design software and FEA for stress/structural analysis
Understanding core principles of Geometric Dimensioning and Tolerancing
Understanding core principles of Data Analysis and Design of Experiments
Willingness and ability to travel domestically up to 75%","Hands-on approach to engineering and problem-solving
A quick learner who approaches problems flexibly and proactively identifies solutions in the face of challenges
Strong ability to influence using clear and concise communication skills to make data-driven manufacturing decisions
Applies innovative approach to problem-solving by demonstrating past experiences
A passion for manufacturing and engineering excellence
Unwillingness to compromise on quality and customer satisfaction
Experience working with OEMs and Contract Manufacturers in the Consumer Electronics Industry is a plus",https://jobs.apple.com/en-in/login?favId=PIPE-200591606
Manufacturing Design Engineer- Brittles,India,24-Feb-25,"Imagine what you could do here. At Apple, innovative ideas quickly become extraordinary products, services, and customer experiences. This is where individual imaginations and experiences gather, leading to great work. Bring passion and dedication to your job, and there's no telling what you could accomplish.

The people here at Apple don’t just create products — they make the kind of wonder that’s revolutionized entire industries. The diversity of those people and their ideas inspire the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it.

The Apple Manufacturing Design Engineer (MDE) is accountable for owning the development and implementation of innovative manufacturing processes across Apple’s worldwide supply base. In this highly collaborative role, you will work closely with Apple Industrial Design, Product Design, and Manufacturing Design partners and our worldwide suppliers. This role is empowered to bring creativity to Apple’s manufacturing approach, enabling us to deliver our best work to as many customers as possible.","You will be a part of collaborative environment contributing to the creation, evaluation, and implementation of end-to-end manufacturing solutions for Apple’s iPhone enclosures. You will collaborate closely with cross-functional stakeholders in Quality Engineering, Global Supply Management, Product Design, and Industrial Design in order to ensure our manufacturing solutions meet our product quality, cost, yield, capacity, schedule, and environmental goals.

We expect the incumbent to:

-  Evaluate product and industrial design goals to understand the dimensional, cosmetic, and functional priorities for the product

-  Collaborate with Global Supply Managers and Apple’s manufacturing suppliers to align on a manufacturing development strategy with clear goals, deliverables, and schedule

-  Identify and validate suitable fabrication equipment and processes to meet all Apple design and operational requirements

-  Develop and document processes, including all parameters, consumables, and secondary operation requirements to meet defined specifications

-  Conduct process optimization DOE’s, using data-driven and hands-on approaches together to find solutions to complex challenges

-  Communicate ongoing process development status to cross-functional teams and lead discussions to align design requirements with manufacturing capability

-  Willingness to travel within India to support manufacturing partner sites and collaborate with in-region team members

-  Familiarity with a phase gate product development approach

You may be asked to lead development in one or more of the following areas to help ensure that quality & yield requirements are met: 

- Glass Processing: Develop all processes for glass laser, grinding, lapping, polishing, CNC milling, chemical strengthening, decoration and functional coatings (with inks, and other thin film deposition techniques etc).  Ensure that quality and yield requirements are met.

- As part of process development, scope appropriate process equipment, design/develop fixtures, implement touch probing, selection of consumables, lead the reduction of cycle time, development of advanced cutters and coatings. Own optimization/yield improvement actions and process change decisions based on statistical process control (SPC) data analysis.","BS or higher in mechanical, manufacturing, industrial engineering, or related fields
5+ years of experience in high-volume mechanical product development, manufacturing engineering, tooling engineering, high-precision fabrication, or similar roles
Hands-on experience in the following expertise: glass processing, CNC, robotics, polishing, grinding, lapping, laser etching
Understanding core principles of fixture and automation design, including the use of design software and FEA for stress/structural analysis
Understanding core principles of Geometric Dimensioning and Tolerancing
Understanding core principles of Data Analysis and Design of Experiments","A quick learner who approaches problems flexibly and proactively identifies solutions in the face of challenges
Strong ability to influence using clear and concise communication skills to make data-driven manufacturing decisions
Strong abilities and background in materials characterization with hands-on troubling (understanding of analytical tools such as SEM / TEM / EDX / FTIR / XPS etc.)
Ability to work independently with cross-functional teams and drive towards common goals.
Ability to present technical analysis of manufacturing capability to diverse cross-functional team.
A team player who is self-motivated, result oriented and detail driven.
Knowledge in deep learning (DL) or statistical machine learning (ML) is preferred.
Experience working with OEMs and Contract Manufacturers in the Consumer Electronics Industry is a plus",https://jobs.apple.com/en-in/login?favId=PIPE-200591611
