Job Title,Location,Date Posted,Description,Responsibilities,Minimum Qualifications,Preferred Qualifications,Apply Link
Consultant | SAP EPM: SAC Planning | PAN India | Finance Transformation,Mumbai,1-Mar-25,NA,NA,"3+ years of experience in implementing planning and reporting solutions.

• Should have completed at least 1 end-to-end implementations in Planning SAC.

• Experience in creating Models and Dimensions in SAC.

• Strong hands in building Data actions and Allocation Process.

• Expertise in building SAC stories and Digital board rooms.

• Knowledge in building Analytical applications.

• Expertise in writing formulae in importing jobs.

• Expertise in configuring delta loads using import connection.

• Strong hands in building connections with sources to SAC and data imports.

• Strong Hands-on experience in configuring Stories, Reports, Calendar, Dashboard, Integrations, Analytical application, predictive, collaborations, Data visualizations.

• Should be able to build complex models and calculations in SAC.

• Should be able to create and configure live and import connection from SAC to SAP and non-SAP sources.

• Should have good functional knowledge of budgeting, planning, consolidations and forecasting processes.

• Sound understanding of financial statements such as P&L, Balance sheet.

• Experience in SAP BW and HANA for SAC related activities is an added advantage.

• Excellent communication skills with the ability to impart ideas in both technical and user-friendly language.

• Good written and verbal communication skills.",N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/34022044/?locale=en_US
T&T- Cyber: S&T- Cyber Security- Assistant Manager,Chennai,1-Mar-25,NA,NA,"Your potential, unleashed.

 

India’s impact on the global economy has increased at an exponential rate and Deloitte presents an opportunity to unleash and realize your potential amongst cutting edge leaders, and organizations shaping the future of the region, and indeed, the world beyond.

 

At Deloitte, your whole self to work, every day. Combine that with our drive to propel with purpose and you have the perfect playground to collaborate, innovate, grow, and make an impact that matters.

 

The team
 

Assurance is about much more than just the numbers. It’s about attesting to accomplishments and challenges and helping to assure strong foundations for future aspirations. Deloitte exemplifies the what, how, and why of change so you’re always ready to act ahead. Learn more about Technology & Transformation Practice


Your work profile

             

Working knowledge in one or more security domains such as: Information Technology, Information Security, Regulatory Compliance, Security Governance policies and procedures, Risk Management, Compliance, Access Control, Network Security, Security Architecture Review, IT General Controls, Third Party Risk Management
Experience in leveraging industry standards and frameworks such as NIST, HIPAA, ISO/EC 27001, СОВІТ, ITIL, etc.
Demonstrates in-depth knowledge of information security controls and risk management process
Experience in data protection technologies such as encryption, data discovery, data masking, data redaction, etc.

 

Desired Qualifications:

Responsible for ISO 27001 based Information Security Management System implementation
Assess client information security posture, identify the gaps/risks in the existing environment and develop solutions to mitigate the identified gaps/risk
Responsible to assist client in review / implement Information Security controls in areas as mentioned, but not limited to: Change management process, Incident management process, Backup process, User identity and access management, Antivirus management, SLA performance and monitoring, Media handling & Exchange of information, Physical and environmental Security, and Media & Information Handling
Responsible for conducting client’s vendor risk assessments and providing a holistic view of clients risk exposure due to outsourcing
Responsible for advising and assisting clients to develop and implement information classification framework
Conduct Information Systems audits covering IT infrastructure assets
Serves as technical lead or subject matter specialist on security and privacy implementation projects, responsible for design, build, testing and deployment of solutions
Demonstrates ability to work independently on projects with limited supervision
Demonstrates understanding of complex business and information technology management processes
Demonstrates working knowledge of firm tools and methodologies that may be suitable for the engagement
Manages day-to-day client relationships at mid and lower levels.
Participates in proposal development efforts to sell ""add-on"" work to clients
Identifies opportunities to improve engagement economics
Plays substantive role in designing and implementing business development plan for the service line
Plays substantive/lead role in retention of professionals and in building staff complement, mix, and recruiting
Undertakes initiatives in people and practice development
MBA/ MCA
B.E / B.Tech (Tier 1/2) in Computer Science, Information Technology, or related fields
ISO 27001 LA/LI, ISO 31000 LA/LI, CISA, CISM, CISSP, ITIL, or equivalent certification preferred

 

Location and way of working

Base location: PAN INDIA
This profile involves frequent / occasional travelling to client locations.
Hybrid is our default way of working. Each domain has customized the hybrid approach to their unique needs.

 

Your role as an Assistant Manager

 

We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society.

 

In addition to living our purpose, Assistant Managers across our organization must strive to be:

 

Inspiring - Leading with integrity to build inclusion and motivation.
Committed to creating purpose - Creating a sense of vision and purpose.
Agile - Achieving high-quality results through collaboration and Team unity.
Skilled at building diverse capability - Developing diverse capabilities for the future
Persuasive / Influencing - Persuading and influencing stakeholders
Collaborating - Partnering to build new solutions
Delivering value - Showing commercial acumen
Committed to expanding business - Leveraging new business opportunities
Analytical Acumen - Leveraging data to recommend impactful approach and solutions through the power of analysis and visualization
Effective communication – Must be well abled to have well-structured and well-articulated conversations to achieve win-win possibilities
Engagement Management / Delivery Excellence - Effectively managing engagement(s) to ensure timely and proactive execution as well as course correction for the success of engagement(s)
Managing change - Responding to changing environment with resilience
Managing Quality & Risk - Delivering high quality results and mitigating risks with utmost integrity and precision
Strategic Thinking & Problem Solving - Applying strategic mindset to solve business issues and complex problems
Tech Savvy - Leveraging ethical technology practices to deliver high impact for clients and for Deloitte
Empathetic leadership and inclusivity - creating a safe and thriving environment where everyone's valued for who they are, use empathy to understand others to adapt our behaviors and attitudes to become more inclusive. 

 

How you’ll grow

 

Connect for impact

 

Our exceptional team of professionals across the globe are solving some of the world’s most complex business problems, as well as directly supporting our communities, the planet, and each other. Know more in our Global Impact Report and our India Impact Report.

 

Empower to lead

 

You can be a leader irrespective of your career level. Our colleagues are characterised by their ability to inspire, support, and provide opportunities for people to deliver their best and grow both as professionals and human beings. Know more about Deloitte and our One Young World partnership.

 

Inclusion for all

 

At Deloitte, people are valued and respected for who they are and are trusted to add value to their clients, teams and communities in a way that reflects their own unique capabilities. Know more about everyday steps that you can take to be more inclusive. At Deloitte, we believe in the unique skills, attitude and potential each and every one of us brings to the table to make an impact that matters.

 

Drive your career

 

At Deloitte, you are encouraged to take ownership of your career. We recognise there is no one size fits all career path, and global, cross-business mobility and up / re-skilling are all within the range of possibilities to shape a unique and fulfilling career. Know more about Life at Deloitte.

 

Everyone’s welcome… entrust your happiness to us                                                                                                                                        

                                                                                                                                       

Our workspaces and initiatives are geared towards your 360-degree happiness. This includes specific needs you may have in terms of accessibility, flexibility, safety and security, and caregiving. Here’s a glimpse of things that are in store for you.  

 

Interview tips

 

We want job seekers exploring opportunities at Deloitte to feel prepared, confident and comfortable. To help you with your interview, we suggest that you do your research, know some background about the organisation and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.",N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/32769244/?locale=en_US
T&T- Cyber- D&R- AppSec,Bengaluru,1-Mar-25,NA,NA,"Your potential, unleashed.

 

India’s impact on the global economy has increased at an exponential rate and Deloitte presents an opportunity to unleash and realize your potential amongst cutting edge leaders, and organizations shaping the future of the region, and indeed, the world beyond.

 

At Deloitte, your whole self to work, every day. Combine that with our drive to propel with purpose and you have the perfect playground to collaborate, innovate, grow, and make an impact that matters.

 

The team
 

Technology & Transformation is about much more than just the numbers. It’s about attesting to accomplishments and challenges and helping to assure strong foundations for future aspirations. Deloitte exemplifies what, how, and why of change so you’re always ready to act ahead. Learn more about Technology & Transformation Practice


Your work profile

 

As an AM in our Cyber Team, you’ll build and nurture positive working relationships with teams and clients with the intention to exceed client expectations: -

 

Work on projects with clearly defined guidelines as team member with responsibility for project delivery
To understand end-to end application architecture and business logics.
Conduct manual penetration testing of web applications, mobile applications, APIs, networks, and other systems to identify security vulnerabilities.
Utilize penetration testing tools and frameworks to simulate real-world attack scenarios and identify vulnerabilities.
Performs cyber security assessments which includes vulnerability assessment & penetration testing, network security architecture review, secure configuration / code review, manually etc.
Understands basic business and information technology management processes.
Demonstrates knowledge of firm's methodologies, frameworks, and tools.
Participate in practice development.

Desired qualifications

Understanding of basic business and information technology management processes
Good knowledge of protocols, security measures and Networks including Firewall, IDS/IPS, Routers, Switches, and network architecture.
Must have in-depth business logic vulnerabilities, XSS, SQLi, Broken Access Control, SSRF, and other OWASP TOP 10 best practices and cyber security guidelines.
Experience in Infrastructure Penetration Testing and Application Security Testing
Experience in secure code review and expertise in tools like Checkmarx and SonarQube are required.
Experience in conducting configuration reviews of Windows, Linux, UNIX, Solaris, Databases, etc.
Must have Hand-on-Experience of tools like Burp-Suite, Nmap, Metasploit as well as open-source tools.
Should possess knowledge of vulnerability exploitation and exploit development.
Experience in basic scripting such as: Shell, Python, etc.
Basic knowledge of Technologies such as: IPSEC, SSL, SSH, VPN, Ethernet Token Ring, WAP, SMTP, etc.

Location and way of working

Base location: Bangalore
This profile involves frequent / occasional travelling to client locations.
Hybrid is our default way of working. Each domain has customized the hybrid approach to their unique needs.

 

Your role as an AM

 

We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society.

 

In addition to living our purpose, AM across our organization must strive to be:

 

Inspiring - Leading with integrity to build inclusion and motivation
Committed to creating purpose - Creating a sense of vision and purpose
Agile - Achieving high-quality results through collaboration and Team unity
Skilled at building diverse capability - Developing diverse capabilities for the future
Persuasive / Influencing - Persuading and influencing stakeholders
Collaborating - Partnering to build new solutions
Delivering value - Showing commercial acumen
Committed to expanding business - Leveraging new business opportunities
Analytical Acumen - Leveraging data to recommend impactful approach and solutions through the power of analysis and visualization
Effective communication – Must be well abled to have well-structured and well-articulated conversations to achieve win-win possibilities
Engagement Management / Delivery Excellence - Effectively managing engagement(s) to ensure timely and proactive execution as well as course correction for

the success of engagement(s)

Managing change - Responding to changing environment with resilience
Managing Quality & Risk - Delivering high quality results and mitigating risks with utmost integrity and precision
Strategic Thinking & Problem Solving - Applying strategic mindset to solve business issues and complex problems
Tech Savvy - Leveraging ethical technology practices to deliver high impact for clients and for Deloitte
Empathetic leadership and inclusivity - creating a safe and thriving environment where everyone's valued for who they are, use empathy to understand others to adapt our behaviours and attitudes to become more inclusive. 

 

How you’ll grow

 

Connect for impact

 

Our exceptional team of professionals across the globe are solving some of the world’s most complex business problems, as well as directly supporting our communities, the planet, and each other. Know more in our Global Impact Report and our India Impact Report.

 

Empower to lead

 

You can be a leader irrespective of your career level. Our colleagues are characterised by their ability to inspire, support, and provide opportunities for people to deliver their best and grow both as professionals and human beings. Know more about Deloitte and our One Young World partnership.

 

Inclusion for all

 

At Deloitte, people are valued and respected for who they are and are trusted to add value to their clients, teams and communities in a way that reflects their own unique capabilities. Know more about everyday steps that you can take to be more inclusive. At Deloitte, we believe in the unique skills, attitude and potential each and every one of us brings to the table to make an impact that matters.

 

Drive your career

 

At Deloitte, you are encouraged to take ownership of your career. We recognise there is no one size fits all career path, and global, cross-business mobility and up / re-skilling are all within the range of possibilities to shape a unique and fulfilling career. Know more about Life at Deloitte.

 

 

Everyone’s welcome… entrust your happiness to us                                                                                                                                        

                                                                                                                                       

Our workspaces and initiatives are geared towards your 360-degree happiness. This includes specific needs you may have in terms of accessibility, flexibility, safety and security, and caregiving. Here’s a glimpse of things that are in store for you.  

 

Interview tips

 

We want job seekers exploring opportunities at Deloitte to feel prepared, confident and comfortable. To help you with your interview, we suggest that you do your research, know some background about the organisation and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.",N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/32768744/?locale=en_US
"Senior Consultant | AWS Glue, Athena, SQL, Python, PySpark | Bengaluru, Hyderabad | Engineering",Bengaluru,1-Mar-25,NA,NA,"Data Engineer

 

The position is suited for individuals who have the ability to work in a constantly challenging environment and deliver effectively and efficiently. As a Data Engineer, you will be an integral member of our Data & Analytics team responsible for design and development of pipelines using cutting edge technologies.

 

 

Key Responsibilities –




·      Data Modeling: Create and maintain conceptual, logical, and physical data models that accurately represent the organization's data assets. These models may include entity-relationship diagrams (ERDs), data flow diagrams, and schema designs.

·      Requirements Gathering: Collaborate with business analysts, data analysts, and other stakeholders to understand their data needs and requirements. Translate these requirements into data model specifications.

·      Data Standardization: Define and enforce data standards, naming conventions, and data definitions to ensure consistency and clarity across the organization.

·      Database Design: Work closely with database administrators (DBAs) to design and optimize database schemas based on the data models. Ensure that databases are efficient, scalable, and well-structured.

·      Data Integration: Facilitate the integration of data from various sources into the organization's data environment. Ensure that data is transformed and mapped appropriately to meet business needs.

·      Data Governance: Participate in data governance initiatives by establishing data quality rules, data lineage, and data ownership guidelines. Monitor and enforce data governance policies.

·      Documentation: Maintain comprehensive documentation of data models, data dictionaries, and metadata. Ensure that all changes to data models are properly documented and communicated.

·      Performance Optimization: Collaborate with developers and DBAs to optimize database performance. Identify and resolve performance bottlenecks related to data access and storage.

·      Data Security: Implement data security measures to protect sensitive and confidential data. Define access controls and data encryption strategies as needed.

·      Data Analysis Support: Support data analysts and data scientists by providing well-structured data models that facilitate data analysis and reporting.

·      Data Migration: Assist in data migration projects by ensuring that data models are consistent between source and target systems. Verify data integrity during migration.

·      Professionals should possess a clear understanding of current data models

·      Should be able to clearly articulate end-to-end data pipelines with analysis and accomplishment.

Implementing data pipelines and ETL processes within AWS

·      Must possess the ability to construct data pipelines utilizing Glue and allocate cloud resources.

·      Should be capable of conducting data analysis, executing data quality checks, and rectifying data quality problems in collaboration with business stakeholders or Product Owners

·      Required to adhere to leading practices to design pipelines in line with industry standards

·      Will be collaborating with key stakeholders to address critical issues as they arise.

 

Qualifications

 

3-10 years of proficient experience with AWS ETLs, Glue, EMR, S3 & Athena
Expert in languages e.g., Python, Pyspark
Advanced knowledge of database management systems SQL
Excellent problem-solving and analytical skills.
Strong communication and collaboration skills to work with cross-functional teams.
Experience with version control practices and CICD Process (Git, Bamboo, etc.)
Understanding of Financial Services Industry- IMRE (preferred)




Primary Skills:

·      AWS Glue

·      Athena

·      SQL

·      Python

·      PySpark







Soft Skills:

·      Strong leadership, communication, and problem-solving abilities.

·      Ability to work collaboratively with cross-functional teams.

·      Flexibility to meet critical deadlines as needed.

 

Preferred Qualifications:

·      Bachelor’s degree in computer science, Information Systems, or a related field

·      Certification in related technologies is desirable.

·      Experience/Willingness working in Support Role

 

Job Locations:

Hyderabad, Bangalore",N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/35272444/?locale=en_US
Senior consultant | ABAP | Pune | SAP,Pune,1-Mar-25,NA,NA,S/4HANA ABAP,N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/32111444/?locale=en_US
"EAD | OIDS|Senior Consultant | Process mining & SAP S/4 Hana | GGN, BLR, Pune, MUM",Pune,1-Mar-25,NA,NA,"JD Senior consultant – Process mining & SAP S/4 Hana

An experienced Process Mining Consultant with a robust background in multiple process mining tools (such as Celonis, Aris, Signavio, Apromore etc.) and hands-on experience with SAP ERP systems, particularly in transition projects from SAP ECC to S/4 HANA.




Job Description

Utilize experience with multiple process mining tools to analyze and visualize end-to-end business processes, focusing on core areas like Purchase-to-Pay (P2P), Order-to-Cash (O2C), Record-to-Report (R2R), and other critical business functions.
Conduct in-depth process analyses to identify bottlenecks, inefficiencies, and compliance risks, and provide actionable insights for process improvement.
Develop customized dashboards and reports that address specific business KPIs and operational metrics across various domains
Lead or contribute to projects involving the transition from SAP ECC to SAP S/4 HANA, using process mining tools to provide baseline analyses, track process changes, and measure performance improvements.
Collaborate with cross-functional teams, including IT, finance, supply chain, and procurement, to align process mining strategies with SAP S/4 HANA migration goals.
Ensure that process mining findings are incorporated into the S/4 HANA migration plan, supporting data migration, process re-engineering, and overall ERP transition efforts.
In-depth understanding of SAP ECC and S/4 HANA, including data structures, process flows, and key transition challenges.
Strong SQL and data visualization skills; experience with PowerBI or Tableau is a plus.
Excellent problem-solving and analytical skills, with a focus on providing actionable insights.
Strong communication skills with the ability to convey complex technical findings to business stakeholders.
Demonstrated ability to work collaboratively in cross-functional teams.

Experience:

5+ years of experience in process mining, including hands-on work with at least two major process mining tools (such as Celonis, Aris, Signavio, Apromore etc.).
Proven experience in projects involving SAP ERP, with specific exposure to transitions from SAP ECC to S/4 HANA.
Strong background in process analytics, process improvement, and digital transformation.
Good to have experience in QlikSense development, including scripting, data modeling, and dashboard creation.




Preferred Qualifications:

Certification in process mining tools like Celonis, Signavio, MPM or SAP S/4 HANA certification
Experience with additional ERP systems or business process management tools.
Knowledge of Agile methodologies and project management tools.",N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/31417144/?locale=en_US
Assistant Manager | Income Tax Laws | Mumbai | Business Tax,Mumbai,1-Mar-25,NA,NA,freshers at assistant manager level,N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/32497744/?locale=en_US
Consulting - ET&P - SAP ISU + ABAP - Senior Consultant,Kolkata,1-Mar-25,NA,NA,"1 full life cycle implementation of SAP -ERP as SAP Integration Lead

i) B.Tech/B.E./MCA/ B.Sc(IT)/B.SC (Engg.) [

AND ii) Having at least

five years of work

experience.

Should have prior ISU project implementation experience.

Technical Skills:
ABAP Expertise:
Proficiency in SAP ABAP development, including Object-Oriented ABAP.
Experience in developing RICEF components, enhancements, and BAdIs.
SAP IS-U Knowledge:
Hands-on experience with IS-U functional areas (billing, invoicing, meter reading, device management, etc.).
Integration:
Proficiency in creating IDocs, BAPIs, RFCs, and Web Services for SAP IS-U.
Tools and Technologies:
Knowledge of SAP Workflow, Smart Forms, Adobe Forms, and FPM (Floorplan Manager).
Familiarity with debugging tools, performance tuning, and code optimization.
Additional Skills:
Knowledge of SAP PI/PO or CPI integration platforms is a plus.
Understanding of utilities business processes and regulations.",N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/35082944/?locale=en_US
Senior consultant | ABAP | Bengaluru | SAP,Bengaluru,1-Mar-25,NA,NA,CDS OData HANA AMDP adobe forms,N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/35224344/?locale=en_US
Analyst - III | Internal Audit | Mumbai | Controls Assurance,Mumbai,1-Mar-25,NA,NA,Analyst - III | Internal Audit | Mumbai | Controls Assurance,N/A,https://southasiacareers.deloitte.com/talentcommunity/apply/35318744/?locale=en_US
