Job Title,Location,Date Posted,Minimum Qualifications,Preferred Qualifications,Description,Responsibilities,Apply Link
"Account Executive, Mid-Market Sales, Google Customer Solutions","Mumbai, Maharashtra, India",Not Provided,"Bachelor's degree or equivalent practical experience.
5 years of experience in sales, advertising, or marketing.","Knowledge of traditional and online marketing strategy and tactics, and products across all digital advertising product areas.
Knowledge of the local market with excellent analytical skills.
Ability to think strategically about complex issues and develop recommendations and action plans.
Demonstrated ability to lead and manage multiple projects with a broad range of internal and external constituents simultaneously.","About the job
Businesses that partner with Google come in all shapes, sizes and market caps, and no one Google advertising solution works for all. Your knowledge of online media combined with your communication skills and analytical abilities shapes how new and existing businesses grow. Using your relationship-building skills, you provide Google-caliber client service, research and market analysis. You anticipate how decisions are made, persistently explore and uncover the business needs of Google's key clients and understand how our range of product offerings can grow their business. Working with them, you set the vision and the strategy for how their advertising can reach thousands of users.
As an Account Executive, you will work with your respective set of advertisers to shape their business growth and strengthen long-term relationships. You will drive scalable product adoption and business growth. In this role, you will anticipate how decisions are made at a C-Level, you will explore and uncover the business needs of customers, and understand how our range of product offerings can grow their business. You will set the goal and strategy for how their advertising can reach users.
Google Customer Solutions (GCS) sales teams are trusted advisors and competitive sellers who maintain a relentless focus on customer success by bringing the best Google has to offer to small- and medium-sized businesses (SMBs), which are the backbone of our communities. As a member of our team, you’ll have the opportunity to work with company owners and make a real difference in their businesses by helping them grow. Together, we help shape the future of innovation for customers, partners, and sellers...and we have fun doing it.","Responsibilities
Anticipate how decisions are made at a C-Level, explore and uncover the business needs of customers, and understand how our range of product offerings can grow their business. Set the goal and strategy for how their advertising can reach users.
Manage a portfolio of customers alongside account managers to consistently deliver against goals, while prioritizing and delivering an outstanding sales experience to customers.
Establish credibility with executives and serve as a trusted consultant to optimize and expand their advertising investment, by understanding business drivers, identifying opportunities for growth, managing risks, and creating multi-quarter plans for sustainable business growth.
Drive business growth, long-term partnerships, business planning and strategy, review, and education for customers. Coach peers proactively in the organization to create skill lift that drives customer growth.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckX5ojgiBp-wUuck5HF7ZxdMnTt_6646nVs6dFyxlB0vYEjsAD5qA2cm_wCZzGVOCqwZZZZh78ADi3tLDHnz3AVYcgoGMPS-8jay7hD7Bd0-6P-Czy0IFs98dBUUnAw%3D%3D_V2&loc=IN&title=Account+Executive
"Software Engineer III, Infrastructure, Core","Bengaluru, Karnataka, India",Not Provided,"Bachelor’s degree or equivalent practical experience.
2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.
2 years of experience with data structures or algorithms in either an academic or industry setting.","Master's degree or PhD in Computer Science or related technical fields.
2 years of experience building and developing infrastructure, distributed systems or networks, or experience with compute technologies, storage, or hardware architecture.
Experience developing accessible technologies.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
The Core team builds the technical foundation behind Google’s flagship products. We are owners and advocates for the underlying design elements, developer platforms, product components, and infrastructure at Google. These are the essential building blocks for excellent, safe, and coherent experiences for our users and drive the pace of innovation for every developer. We look across Google’s products to build central solutions, break down technical barriers and strengthen existing systems. As the Core team, we have a mandate and a unique opportunity to impact important technical decisions across the company.","Responsibilities
Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckZZI9H_xSBqDACAhYZyZMsc6m0mNTH37ZH_45OMkW5hpEjsAD5qA2SWkb9nbAck2O91NOTOHCeelcIbwJbQ1lg1M2IEvm04U_9Wz9VSbiBbzuvSGt5b1-N8jUqnNxA%3D%3D_V2&loc=IN&title=Software+Engineer+III
Senior Programmatic Specialist,"Hyderabad, Telangana, India",Not Provided,"Bachelor's degree or equivalent practical experience.
5 years of experience working with digital media or digital marketing/advertising solutions, implementing and measuring digital advertising campaigns, and providing client solutions.
4 years of experience in a client-facing role working with partners across multiple levels.","5 years of experience in Internet products and technologies.
Experience in data analysis, with the ability to interpret datasets, identify trends, and translate findings into compelling narratives.
Knowledge of Programmatic platforms and products, the performance advertising market, or online ads landscape.
Excellent business negotiation, influencing, or communication skills, with the ability to collaborate cross-functionally with multiple teams and stakeholders and build relationships.
Excellent project management skills, with the ability to oversee multiple, simultaneous solutions, supported by internal teams.","About the job
gTech Ads is responsible for all support and media and technical services for customers big and small across our entire Ad products stack. We help our customers get the most out of our Ad and Publisher products and guide them when they need help. We provide a range of services from enabling better self help and in-product support, to providing better support through interactions, setting up accounts and implementing ad campaigns, and providing media solutions for customers business and marketing needs and providing complex technical and measurement solutions along with consultative support for our large customers. These solutions range from bespoke and customized ones for our customers to scalable support for millions of customers worldwide. Based on the evolving needs of our ads customers, we partner with Sales, Product and Engineering teams within Google to develop better solutions, tools, and services to improve our products and enhance our client experience. As a cross-functional and global team, we ensure our customers get the best return on investment with Google and we remain a trusted partner.
Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of trusted advisors support customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.

To learn more about gTech, check out our video.","Responsibilities
Advise key Google Ads clients, leveraging digital marketing and tech solutions to address business issues, collaborate as a thought partner, design media plans, and deliver technical solutions to achieve business goals.
Build relationships with external advertisers to deliver business outcomes through Google Ads, supporting planning, pitching, implementation, and optimization to support product adoption and business growth.
Collaborate with teams to drive growth plans for clients, and develop and apply insights for vertical and sub-verticals in solutions offered.
Deliver consultative digital marketing solutions that address issues.
Advocate new product features, assist with adoption through setup, and provide technical guidance for infrastructure and data integration in Google Ads.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2Fckc4dK7Cu_g_z97AuhjXY-CtkMwN4wfkxiKqCoPuskp7MEjsA7mFcrD6nIO52jBhZylxkB-UiFWNBJI39OPjzxGFvOM30iJzpsFLAVNg2Na0h5vsPn3rDlktYGJ239A%3D%3D_V2&loc=IN&title=Senior+Programmatic+Specialist
Google Workspace New Business Specialist,"Gurgaon, Haryana, India",Not Provided,"Bachelor's degree or equivalent practical experience.
7 years of experience in a sales role in the enterprise software or cloud space.
Experience in promoting infrastructure software, databases, analytic tools, or applications software, and Software-as-a-Service (SaaS) solutions to enterprise clients.
Experience with commercial and legal negotiations working with procurement, legal, and business teams.
Experience working with and managing partners in implementation projects, including global system integrators and packaged software vendors.","Knowledge of Google Cloud products and Google Workspace.
Ability to leverage C-level relationships with CIO, CMO, CEO, CFO executives to promote software against participants.
Ability to work with sales engineers and customer’s technical leads to inventory existing software estate, define migration plans, and build business cases for migrations.","About the job
The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are developed for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
In this role, you will deliver cloud-based collaboration, productivity, and security tools. You will develop an execution strategy for Google Workspace in the assigned market and work with the broader sales team and partner ecosystem to prospect, qualify, develop, and deliver new Google Workspace opportunities. You will build a pipeline and work with the account teams to build out the customer solution, as well as with stakeholders and IT decision makers across various functional teams and verticals.
Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.","Responsibilities
Work toward assigned business and pipeline goals while prioritizing a positive customer experience to customers and prospects.
Prospect, qualify, and develop business opportunities.
Work with wider Account teams and partner ecosystem on a territory strategy to generate and develop business growth opportunities, support business results in the territory, and develop opportunities with enterprise customers.
Explore and understand customer requirements on both a business and technical level.
Build and maintain executive relationships with customers, influence long-term strategic direction, and act as a trusted advisor.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckaTDQkEuB4Upu8wbbvSyj-rPKG1UUQc4-b8pPq1daMpVEjsA7mFcrPEwT5MguI7xNsxAbAgKcTGfMTFQklMP7oIZqJ1qX5TYZktd4xw5sICN75MSCBMomrdDERtSvA%3D%3D_V2&loc=IN&title=Google+Workspace+New+Business+Specialist
"Systems Development Engineer III, Silicon Infrastructure","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree in Computer Science or IT-related field, or equivalent practical experience.
3 years of experience with systems automation and tooling using Python, Go or any other programming language.
3 years of experience in managing technical infrastructure (e.g., deployment, maintenance, troubleshooting).
3 years of experience in Linux Internals, Networking and Systems administration.","6 years of experience in implementing, troubleshooting, and supporting Computing systems.
Experience with DevOps tools such as Terraform, Puppet, Ansible, Jenkins.
Experience with cloud provider ecosystems of cloud service providers.
Experience in supporting large-scale complex cloud-based infrastructure.
Experience in one of the High Performance Computing (HPC) Schedulers such as LSF, Symphony, NC, or SLURM.
Excellent investigative, problem-solving and communication skills.","About the job
Systems Development Engineering (SDE) at Google is a role where you manage services and systems at scale. SDEs creatively put their engineering discipline to use automating the mundane and reducing toil. We don’t just write code to fix bugs, but emphasize the development of tools and solutions that fix classes of problems. We know it’s hard to control what you can’t measure – so we focus on observability: instrumenting first, then turning data into knowledge, and finally knowledge into action. We know that the operational efficiency of Google systems, services, virtual compute environments and the operating systems that power them impact the environment, not just the bottom line. We know that working together we can do more, and that community matters.

Google brings together people with a wide variety of backgrounds, experiences and perspectives. We encourage them to collaborate, think big and take risks in a blame-free environment. We promote self-direction to work on meaningful projects, while we also strive to create an environment that provides the support and mentorship needed to learn and grow.

Together we engineer and build the infrastructure, tools, access and telemetry for systems that enable orchestration of Google-scale services. Come build things that matter.
In this role, you will be responsible for building and operating the underlying foundation infrastructure used for designing custom silicon. This includes compute platforms, CI/CD, Cloud, groups and Access Control Lists (ACLs), source control, dashboards, resource economy, and bench labs used by silicon engineers in the daily work.
Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. We research, design, and develop new technologies and hardware to make computing faster, seamless, and more powerful. We aim to make people's lives better through technology.","Responsibilities
Ensure the timely delivery of silicon designs using Google Cloud Platform (GCP) within a fluid environment.
Monitor and uphold high-standards for internal services on Google Cloud.
Provide support, maintain, and deploy team-supported infrastructure and documentation.
Collaborate closely with engineering teams to implement and develop on Google Cloud infrastructure.
Automate tasks wherever needed.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckdB3MLuoSHtOPbESYzGSzsRYN_dlS2PbGcnqI6zA_jykEjsA7mFcrBxefQnBxj9vWWgYrlJCBLk4hvAQ_587LO2Lcs4Xa-VYabUrtI_RWL4B5VIIvpfdBstPdJ9LHA%3D%3D_V2&loc=IN&title=Systems+Development+Engineer+III
Video Specialist,"Hyderabad, Telangana, India",Not Provided,"Bachelor's degree or equivalent practical experience.
2 years of experience working with digital media or digital marketing/advertising solutions, implementing and measuring campaigns and providing client solutions.","3 years of experience in Internet products and technologies.
Experience in data analysis, ability to interpret datasets, identify trends, and translate findings into compelling narratives, with a strong aptitude for quickly understanding technical concepts and knowing when to apply them.
Knowledge of apps platforms and products, the performance advertising market, or online ads landscape.
Ability to collaborate cross-functionally with multiple teams and stakeholders while building relationships.
Effective project management skills with the ability to oversee multiple, simultaneous solutions, supported by internal teams.
Strong business communication, negotiation, and influencing skills.","About the job
gTech Ads is responsible for all support and media and technical services for customers big and small across our entire Ad products stack. We help our customers get the most out of our Ad and Publisher products and guide them when they need help. We provide a range of services from enabling better self help and in-product support, to providing better support through interactions, setting up accounts and implementing ad campaigns, and providing media solutions for customers business and marketing needs and providing complex technical and measurement solutions along with consultative support for our large customers. These solutions range from bespoke and customized ones for our customers to scalable support for millions of customers worldwide. Based on the evolving needs of our ads customers, we partner with Sales, Product and Engineering teams within Google to develop better solutions, tools, and services to improve our products and enhance our client experience. As a cross-functional and global team, we ensure our customers get the best return on investment with Google and we remain a trusted partner.
Google creates products and services that make the world a better place, and gTech’s role is to help bring them to life. Our teams of trusted advisors support customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers’ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.

To learn more about gTech, check out our video.","Responsibilities
Advise key Google Ads clients, leveraging digital marketing and tech solutions to address business issues, collaborate as a thought partner, design media plans, and deliver technical solutions to achieve business goals.
Build relationships with external advertisers to deliver business outcomes through Google Ads, supporting planning, pitching, implementation, and optimization to boost product adoption and business growth.
Collaborate with teams to drive growth plans for clients. Develop and apply insights of market and competitive environment for vertical and sub-verticals in solutions offered.
Serve as the customer's Search product expert by successfully delivering consultative digital marketing solutions that address issues and enhance the customer's sophistication and digital maturity.
Advocate new product features, assist with adoption through setup and provide technical guidance for infrastructure and data integration in Google Ads.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckUm2tbCS2BfbnOF40TTYyRrc5egCT_eBxfHF5DilBymMEjsA7mFcrJkqrSEGszYGYsrQfJX82PbqPUNlJBWAFOLGa5YFU5jBVVZx4rOQqn7NIJDObXRJOzdHlthkuQ%3D%3D_V2&loc=IN&title=Video+Specialist&page=3
"Staff Data Scientist, Product, Ads Account Management","Bengaluru, Karnataka, India",Not Provided,"Master's degree in Statistics, Economics, Engineering, Mathematics, a related quantitative field, or equivalent practical experience.
7 years of experience with statistical data analysis, modeling, experimentation, causal inference, data mining, querying, and managing analytical projects with programming in SQL, Python, or R.
7 years of experience developing and managing metrics or evaluating programs/products.
5 years of experience as a people manager within a technical leadership role.","Experience managing a team of Data Scientists.
Experience working with large and multiple datasets/data warehouses, and ability to pull from such data sets using relevant tools and coding.
Strong business acumen and experience with utilizing unstructured data to answer open-ended business questions.
Ability to start and direct work in an unstructured environment and comfortable dealing with ambiguity.
Expertise in experimental design (e.g., A/B, multivariate, Bayesian methods) and incrementality analysis.","About the job
Help serve Google's worldwide user base of more than a billion people. Data Scientists provide quantitative support, market understanding and a strategic perspective to our partners throughout the organization. As a data-loving member of the team, you serve as an analytics expert for your partners, using numbers to help them make better decisions. You will weave stories with meaningful insight from data. You'll make critical recommendations for your fellow Googlers in Engineering and Product Management. You relish tallying up the numbers one minute and communicating your findings to a team leader the next.
Account Management provide a secure and scalable platform that makes ad buying easier for businesses of all sizes. We take a strong Customer First mindset and have a responsibility to help advertisers achieve their business goals.
Be a part of a team of analysts passionate about learning and using cutting edge data science and analytics techniques to shape our next generation Ads Account Management efforts. This role will manage a team of Data Scientists based out of Bengaluru.
In this role, you will be responsible for managing a team and delivering insights, building and measuring key metrics, creating and maintaining reporting to assess our account management efforts.","Responsibilities
Work closely with the Account Management leadership team, UX, Marketing, and Support to develop a deep understanding of the needs of our advertisers, developers, and other partners.
Set the direction, strategy, manage priorities and backlog of analytics projects, and coach a team of data scientists that support our account management efforts.
Perform deep technical analyses with unstructured data (e.g., logs) to assess the success of our mobile efforts and new agency/large company account management products.
Investigate fundamental business and product strategy questions. Deliver deep insights on specific topics and areas to provoke new feature/product ideas, or new interventions to drive improved advertiser experiences.
Drive strategic analysis and reporting for business health metrics, focusing on retention, cost savings, and performance.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckfSXBaeZ6jvffhuIcggDcC7QZvYDQO4GMICXwH9-WFvYEjsA7mFcrEZK2fc0LdZg97c21gaW9MLHQB2FylAj4qMkDotzGuF_iHsLEIRJJYpsqaCzjJmAbK0CZpWV4w%3D%3D_V2&loc=IN&title=Staff+Data+Scientist&page=3
"Silicon Engineer, Embedded Systems","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree in Electrical Engineering or Electronics Engineering, or equivalent practical experience.
5 years of experience with software development in consumer electronics or other embedded systems.
Experience with ARM or other low-power processor architectures.","Master's degree or PhD in Electrical/Electronics Engineering, Computer Engineering, Computer Science, or a related field.
10 years of experience with software design and development for typical software layers found in ASIC: boot, drivers, embedded firmware, libraries, and API for applications.
Knowledge of interaction types between hardware and software for different types of standard hardware blocks, CPU, and accelerators.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
The Silicon Software team in Bangalore has the long term charter to develop software for a variety of custom silicon being developed for both internal and external customers, including IP for many diverse applications.
In this role, you will be a member of the team developing high-performance and low power hardware and software to enable Google’s continuous innovations in mobile image, sight and AI processing. You will develop the software platform support, firmware and drivers for the Google Tensor mobile SoC.
Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. We research, design, and develop new technologies and hardware to make computing faster, seamless, and more powerful. We aim to make people's lives better through technology.","Responsibilities
Work to enable applications for devices.
Develop new software, hardware, and system architecture to support future applications.
Design, development, and testing of embedded software drivers for the next generation smart devices.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckYsccObpK3UfOdhURi41XD_K_9pjcqYFSA9t6pycRmoPEjoA7mFcrPAG9A1mh80HE2KKMEtVf-XH1ngU2DeCps_j_yAxQ-SQ_h_mZAlBbDd_5nx5RybhwsDpV_fI_V2&loc=IN&title=Silicon+Engineer&page=3
"Senior Staff Software Engineer, Google Cloud","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree or equivalent practical experience.
8 years of experience in software development.
5 years of experience with design and architecture; and testing/launching software products.","Master’s degree or PhD in Engineering, Computer Science, or a related technical field.
8 years of experience with data structures/algorithms.
5 years of experience in a technical leadership role leading project teams and setting technical direction.
3 years of experience working in a complex, matrixed organization involving cross-functional, or cross-business projects.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.","Responsibilities
Provide technical leadership on high-impact projects.
Influence and coach a distributed team of engineers.
Facilitate alignment and clarity across teams on goals, outcomes, and timelines.
Manage project priorities, deadlines, and deliverables.
Design, develop, test, deploy, maintain, and enhance large scale software solutions.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckZ9cxVDh_ZH7sFHGr8UoT3tpi0UbYEmqAXze2hSsWlczEjsAbmRECQPEsmbdc3XCKsPWlU0Sl_HnBuyBS-kHC4BkkkSm4szvAV0UGRCJ6EyIBMPVaUDMW0yAE48bXA%3D%3D_V2&loc=IN&title=Senior+Staff+Software+Engineer&page=3
"Software Engineer III, Play Games Multiplatform","Bengaluru, Karnataka, India",Not Provided,"Bachelor's degree or equivalent practical experience.
2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.
2 years of experience with data structures or algorithms.
Experience in OS development.
Experience with working on client software.","Master's degree or PhD in Computer Science or related technical fields.
Experience with game development.
Experience with development in C#.
Experience developing accessible technologies.","About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
Google Play offers music, movies, books, apps and games for devices, powered by the cloud. It syncs across devices and on the web. As part of the Android and Mobile team, Googlers working on Google Play do everything from engineering our backend systems, to shaping product strategy, to forming great content partnerships. They make it possible for people to do things like buy an ebook or song on their Android phone, then have it instantly available on their laptop. The Google Play team enhances the Android ecosystem by giving developers and partners a premium store where they can reach millions of users.","Responsibilities
Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.",https://www.google.com/about/careers/applications/apply?jobId=CiUAL2FckVmzaZ1oYdkFrZcdYUCDCAWaBYN2snUGi_4u6sESifYQEjsA7mFcrI7Z3_qbJuW5rvGql1RVrQXo5MFkJZBhN3TyCIphpEUll9pdehoFpjHBwhvcadI603d5zRxnzg%3D%3D_V2&loc=IN&title=Software+Engineer+III&page=4
