Job Title,Location,Date Posted,Description,Responsibilities,Minimum Qualifications,Preferred Qualifications,Apply Link
AM_PUNE_Finance_KDN,"Pune, Maharashtra, India",N/A,"To lead the overall solution from Oracle Finance(Core modules GL,CM ,AP,AR,FA) Fuctional perspective for complex projects
 Previous hands-on implementation experience of Oracle Cloud.
 Should be able to work independently
 Ability to understand the business requirement and functional specification documents
 Ability to produce artifacts such as fit gap documents, configuration documents, test scripts, training documents
 Ability to do Cloud Application Configuration, Smoke Testing or Regression Testing.",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30017392/?mode=location
Assistant Manager,"Hyderabad, Telangana, India",N/A,"Roles and responsibilities:
 Reviewing trust, partnership, and corporate tax returns; developing and supervising staff, preparing more complex tax returns; and assisting in client management and practice development activities.
 Implement client’s engagements from start to finish (planning, executing, directing, and completing tax projects).
 Supervise, train, and mentor staff and New Joiners on tax projects.
 Review tax returns prepared by staff and make recommendations regarding accuracy and tax savings opportunities.
 Prepare complex tax returns for trusts, partnerships, and corporations.
 Proactively interact with client management team to gather information, resolve tax-related problems, and make recommendations for business and process improvements.
 Assist onshore managers on proposals and business development requirements.
 Gain understanding of client operations, processes, and business objectives.
 Manage people development and performance management for their group.
 Be the single point of contact for the Operating office in KPMG US
 Support the Engagement Manager in pursuits, proposals and engagement reporting. 
 Experience/ Qualifications:
 Minimum Master Degree from reputable universities with excellent academic result, majoring in Accounting or Finance
 Enrolled Agent Certification Required
 Minimum of 4-5 years of professional experience, preferably in a Big 4 consulting firm
 Strong tax accounting skills with proficiency in US GAAP and tax compliance.
 Proficiency in Microsoft Office software programs, including spreadsheet programs (i.e. Excel).
 Understanding of federal taxes.
 Broad exposure to federal income taxation and knowledge of tax regulations
 Behavioral / team skills
 Willing to work hard, enthusiastic and self-motivated. 
 Strong analytical and advisory skills. 
 Good communication and interpersonal skills. 
 Able to work in fast moving and demanding environment. 
 Strong commitment, multi-tasking and team player. 
 Excellent oral and written communication skills in English (including strong presentation skills).
 Highly proficient in MS Office (especially in excel, word and power point).
 Excellent project management, analytical, interpersonal, oral and written communication skills.
 Strong experience in staff and tax management.
 
  Strong leadership, training, and mentoring skills.
 Ability to thrive in a dynamic team environment",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30018444/?mode=location
Senior,"Noida, Uttar Pradesh, India",N/A,"KPMG Resource Centre (KRC) is a team of 3,000+ colleagues serving audit clients of primarily KPMG Europe and a few other countries. KRC’s services include end-to-end Audits, IT Audits, Data Analytics, Engagement Support Hub, Transaction 
 Assurance and ESG, among others. The business supports multiple sectors and is currently present in Bengaluru, Gurugram, Noida and Mumbai. 
  
 Through your work, you’ll build a global network and unlock opportunities that you may not have thought possible with access to great support, vast resources, and an inclusive, supportive environment to help you reach your full potential.KPMG Resource Centre (KRC) is a team of 3,000+ colleagues serving audit clients of primarily KPMG Europe and a few other countries. KRC’s services include end-to-end Audits, IT Audits, Data Analytics, Engagement Support Hub, Transaction 
 Assurance and ESG, among others. The business supports multiple sectors and is currently present in Bengaluru, Gurugram, Noida and Mumbai. 
  
 Through your work, you’ll build a global network and unlock opportunities that you may not have thought possible with access to great support, vast resources, and an inclusive, supportive environment to help you reach your full potential.",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30019372/?mode=location
Manager - ITA Germany FS,"Bangalore, Karnataka, India",N/A,"KPMG Resource Centre (KRC) is a team of 3,000+ colleagues serving audit clients of primarily KPMG Europe and a few other countries. KRC’s services include end-to-end Audits, IT Audits, Data Analytics, Engagement Support Hub, Transaction 
 Assurance and ESG, among others. The business supports multiple sectors and is currently present in Bengaluru, Gurugram, Noida and Mumbai. 
  
 Through your work, you’ll build a global network and unlock opportunities that you may not have thought possible with access to great support, vast resources, and an inclusive, supportive environment to help you reach your full potential
 Job details
 •Proposed designation
 Manager
 •Role type
 Solution Delivery/Team Lead
 •If supervisory:
 –NA
 •Reporting to 
 Senior Manager/Director
 •Geo to be supported
 Germany
 •Work timings
 11.30 AM to 8.30 PM IST",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30019491/?mode=location
Senior Associate_R&D_Fixed Assets,"Hyderabad, Telangana, India",N/A,"Roles & responsibilities
 ·We are recruiting for the Senior Associate position in the Tax-Fixed Assets team. Working as a Senior Associate in this team, your responsibilities will include:
 ·Support teams of client and KPMG personnel in the execution of project work, monitor and support progress against project milestones to help ensure timely and high quality delivery across a variety of clients within multiple industries
 ·Review of activities and costs pertaining to office buildings, laboratories, facilities, and data centers and complete quantitative and qualitative analyses to evaluate tax treatment of expenditures
 ·Conduct interviews and collect data from company subject matter experts, including scientists, engineers, architects, technical specialists, accounting, and finance personnel; review voluminous databases of fixed assets for errors, inconsistencies, and potential savings
 ·Analyze technical documents (construction drawings, technical papers, and other materials) provided by clients to ascertain and document tax treatment of items
 ·Perform reconciliations between financial and tax reporting of relevant expenditures and prepare client reports and deliverables
 ·Calculate depreciation expense amounts and develop financial models from project results
 ·Prepare and review of the 481(a) Adjustment calculation and the form requirements for the Accounting Method changes.
 This role is for you if you have the below
 Experience & Qualifications:
 ·Bachelor of Accountancy/Finance and/or Master of Accountancy/Finance from an accredited college/university.
 ·A minimum of 3 years of experience within fixed asset consulting, cost segregation, construction management, and/or valuation
 ·MBA/PGDM degree from an accredited college/university with Finance specialization is preferred
 ·Experience in performing preparation and review of multiple client engagements, construction management, accounting or fixed assets
 ·Experience in fixed assets ERP software Ex: BNA Fixed Assets, Sage FAS
 ·Experience in construction management software for performing take-offs Ex: Bluebeam Revu, On-Screen Takeoff or any other
 ·Excel Advanced skills to perform data manipulations and to develop financial models
 ·Desire to focus on non-routine and non-recurring tax advisory and project related work
 ·Self-starter with demonstrated high performance capabilities
 Key behavioral attributes/requirements
 •Personal drive and positive work ethic to deliver results in demanding situations
 •Attention to detail
 •Prioritization and time management skills
 •Effective team player",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30021437/?mode=location
Assistant Manager,"Bangalore, Karnataka, India",N/A,"We are seeking a highly skilled ServiceNow Solution Architect to design and implement scalable, innovative solutions using the ServiceNow Platform. The Architect will be responsible for understanding business requirements, defining technical strategies, and delivering end-end ServiceNow solutions across ITSM, HRSD, GRC, ITOM and other modules. The Candidate should be having an expertise in ServiceNow Architecture, Development and Integration, timelines.",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30022043/?mode=location
Manager,"Mumbai, Maharashtra, India",N/A,"Lead a team of consultants, associate consultants and assistant managers for executing projects on behalf of international KPMG teams and clients (‘onshore teams’)
 Establish strong professional relationships with onshore team members through weekly meetings and calls with onshore stakeholders
 Provide regular updates on work pipeline, discussions with onshore teams to the entire team
 Review the work performed by the subordinates and coach them
 To provide support/assistance for proposals/business development
 Provide technical and transaction-based accounting advisory support and research to international KPMG teams and clients, including implementation assistance with new accounting standards
 Assist with US Securities Exchange Commission (SEC) regulatory filings for spin-offs, carveouts, initial public offerings (IPO), debt offerings, and other acquisition filings for both domestic and cross-border transactions
 Provide conversion services to U.S. and foreign registered companies to / from U.S. Generally Accepted Accounting Principles (GAAP) and International Financial Reporting Standards (IFRS)
 Provide transaction-oriented accounting and reporting assistance for mergers and acquisitions, divestitures, complex capital raising and financing structures, complex financial instruments, revenue recognition and leases. — Prepare and present accounting whitepapers.",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30022404/?mode=location
Senior- Treasury,"Gurgaon, Haryana, India",N/A,"Job details
 •Proposed designation
 Senior
 •Role type
 Individual contributor
 •Reporting to 
 Manager
 •Geo to be supported
 United Kingdom
 •Work timings
 9:00am to 5:30pm",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30022523/?mode=location
Oracle Tech Dev Consultant,"Noida, Uttar Pradesh, India",N/A,"Requirement 
 Candidate should have the ability to perform in a dynamically changing environment.
 Hands-on experience in Fusion technologies like OIC, BIP, Conversions etc.
 Hands-on experience in Fusion Reporting technologies like BI Publisher, OTBI & FRS
 Hands-on experience in Oracle Fusion RICE Components
 Relevant experience for 5-7 years
 Should have minimum 1 year of experience on end-to-end implementation projects.
 Knowledge on OCI (Dev Ops, Big Data, Data Flow and NoSQL Databases) will be an added advantage.
 Having Certification on any Oracle Technology is an added advantage.",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30023050/?mode=location
KGS_ SAP- CI_Consultant_KDN_BAN,"Bangalore, Karnataka, India",N/A,"Role and Responsibilities:
 The SAP Integration Suite Technical Consultant will be responsible for the hands-on development, implementation, and management of complex integration solutions using SAP Integration Suite (formerly known as SAP Cloud Platform Integration). This role demands a deep technical understanding of integration technologies and the ability to translate business requirements into reliable and scalable integration solutions.
  Key Technical Responsibilities:
 Integration Design and Development:
 Collaborate with business analysts and stakeholders to gather and analyze integration requirements.
 Design and develop robust integration solutions using SAP Integration Suite, including creating integration flows, mappings, and configurations.
 Implement data transformation, message mappings, and value mappings to ensure accurate data exchange between systems.
 Configuration and Management:
 Configure and manage various integration adapters (e.g., HTTP, IDoc, SFTP, SOAP, REST) for connecting SAP and non-SAP systems.
 Ensure proper authentication and authorization mechanisms are in place, leveraging security artifacts such as OAuth, SSL, and digital certificates.
 Custom Development:
 Develop custom scripts using Groovy or Java for handling complex business logic and data transformations within integration flows.
 Create and manage APIs using API Management service of SAP Integration Suite for exposing business functionalities.
 Testing and Troubleshooting:
 Conduct unit testing, system integration testing, and performance testing to ensure the quality and reliability of integration solutions.
 Troubleshoot and resolve technical issues related to message processing, data transformation, and connectivity.
 Monitor integration processes using SAP Monitoring tools and manage message queues, logs, and alerts.
 Deployment and Documentation:
 Deploy integration scenarios across different environments, following change management procedures.
 Document integration designs, technical specifications, and user guides to facilitate knowledge sharing and ensure proper maintenance.
 Continuous Improvement:
 Stay updated with the latest SAP integration technologies, tools, and best practices.
 Participate in code reviews and provide feedback to ensure adherence to design standards and technical quality.
  Professional Experience:
 4-6 years of hands-on experience with SAP Integration Suite (formerly SAP CPI).
 Proven experience in developing and managing complex integration scenarios within SAP and non-SAP environments.
 Technical Skills:
 Proficiency in designing, developing, and configuring integration flows using SAP Integration Suite.
 Strong skills in Groovy or Java scripting for custom logic development.
 Experience with various integration protocols (e.g., HTTP, SOAP, REST, IDoc, SFTP) and security standards (e.g., OAuth, SSL).
 Familiarity with SAP APIs, BAPIs, IDocs, RFCs, and ALE.
 Knowledge of SAP PI/PO and other middleware platforms is a plus.
 Tools and Technologies:
 SAP Integration Suite development tools and monitoring dashboards.
 API Management and Open Connectors within SAP Integration Suite.
 Advanced Event Mesh configuration and connecting it with Integration suite artifacts
  Soft Skills:
 Excellent problem-solving and analytical skills.
 Strong communication skills to effectively interact with technical and non-technical stakeholders.
 Ability to handle multiple tasks and prioritize effectively in a fast-paced environment.
 Detail-oriented with a focus on delivering high-quality solutions.",NA,N/A,N/A,https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30023081/?mode=location
