Job Title,Location,Date Posted,Description,Responsibilities,Minimum Qualifications,Preferred Qualifications,Apply Link
"Production Systems Engineer, Foundation Labs","Bangalore, IND",Posted 3 days ago,Summary:,"Set up pre-production hardware for testing
Perform tests on server hardware systems and modules
Perform issue duplication and isolation
Support system debug work
Maintaining test servers and modules with latest OS, firmware, software
Assist with validation and verification of new hardware platforms
Create documentation and training materials, and ensure they remain up to date
Clone and deploy OS images onto clients
Read and analyze failure logs, providing a quick summary to Test / FW developers
Track and manage test resources including rack, system, module, and bench
Monitor test runs and recover “unresponsive” clients
Test development, automation and failure analysis
BS in Electrical Engineering or Computer Engineering, or related Engineering Degree, with 3+ years of industry experience in data center equipment testing.
Experienced working in Linux Systems Environments
Experience with server hardware testing
Skill to gather, process, and summarize test data and results
Experience with setting up test beds for SI testing (High BW Scopes and BERT Scopes)
Experience with system function, stability, and power consumption testing
Experience with stress test tool with CPU, memory, storage, and I/O subsystem
Experience with server BMC
Successful candidates must remain in role in the same team in India for a minimum period of 24 months before being eligible for transfer to another role, team or location
Experience and understanding of using PCIe test fixtures
Experience with test automation scripting in Python
Skill to gather data with scripts",N/A,N/A,https://rr.jobsyn.org/0E82D8072CEC433B9AB1F96AEE7471E510
"ASIC Engineer, Accelerator Systems","Bangalore, IND",Posted 4 days ago,Summary:,"Design, develop, and maintain Linux device drivers/kernel modules, user-space drivers, user-space libraries and APIs, system services and daemons to support the ASIC
Develop diagnostics tools to troubleshoot and debug issues with the ASIC and related software components
Optimize and benchmark the performance of the ASIC and related software components
Collaborate with hardware engineers to understand the ASIC architecture and design
Collaborate with software engineers to integrate the ASIC into the overall software stack
Participate in code reviews and contribute to the development of best practices
Stay up-to-date with the latest developments in Linux kernel development and related technologies
BS/MS in Computer Science or a related field
3+ years of experience in Linux systems development
Expert-level knowledge of C and C++ programming languages
Experience of developing diagnostic/telemetry tools
Experience with Linux kernel internals, device drivers, and kernel modules
Experience with user-space driver development and API design
Knowledge of computer architecture and hardware design principles
Demonstrated problem-solving skills and experience of work independently
Experience with performance optimization and benchmarking
Strong communication skills
Experience with AI accelerator ASICs
Experience with continuous integration and continuous deployment (CI/CD) pipelines
Experience with performance optimization and benchmarking
Experience of developing Reliability, Availability, and Serviceability features for a product",N/A,N/A,https://rr.jobsyn.org/F69067E99EB94EDDA1408C15005E3BC810
Solutions Architect,"Bangalore, IND",Posted 4 days ago,Summary:,"Act as a technical consultant on Meta's messaging enterprise and marketing technology solutions for some of the most largest companies in the world
Guide our clients to the most optimal implementations by illustrating technical details of Meta's platform and products
Work closely with sales teams to unlock and develop new opportunities by developing an understanding on business goals and industry trends
Impact the industry through technology by participating in industry conferences and presenting to executive-level audience
Travel Requirement: 20%
Combined experience as an Engineer, Solutions Architect, Technical Consultant, or Partner/Sales Engineer
Experience working with software systems including querying, SQL scripting, and working with APIs
Experience collaborating with technical and business audience at prospects or clients
Experience with web, mobile, or messaging enterprise technology stack
Experience demonstrating knowledge of industry technology areas and trends
Technical Degree (Science, Technology, Engineering, Mathematics) or equivalent industry experience
Experience deploying large partner integration projects
Technical understanding of the Meta Platform",N/A,N/A,https://rr.jobsyn.org/51FDFD35F1FA44E5BBB944B4F5EA57D610
"ASIC Engineer, SoC Architect (AI Accelerators)","Bangalore, IND",Posted 4 days ago,Summary:,"Work on modeling, performance analysis and architecture definition of Machine Learning ASICs.
Map Data Center workloads to heterogeneous ASICs that contain multiple different programmable processors and hardware accelerators. Perform detailed calculations to specify computation throughput, memory bandwidth and latency, evaluate performance v/s area v/s power tradeoffs.
Identify appropriate workloads and micro-benchmarks to be used for performance analysis and drive this analysis on simulation and emulation platforms to define and validate the architecture.
Evangelize your architectural solutions with your peers and leadership, while mentoring members of the architecture team.
Collaborate with cross functional teams working on RTL design, Design Verification, Firmware/Software development, Pre-Post silicon validation and Program Management to deliver first pass functional silicon on an aspirational schedule.
Collaborate with software and firmware teams to ensure that the ASIC meets end to end application performance goals while maintaining ease and efficiency of software development.
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
12+ years of prior experience in defining and delivering multiple high performance ASICs into production, with focus on architecture definition and performance analysis.
Experience and knowledge of Computer Architecture concepts such as microprocessor architecture, memory systems, on-chip interconnection networks, hardware/software partitioning etc.
Experience working on AI high-performance kernels including CUDA programming or AI accelerator kernel programming.
Programming in C or C++ with knowledge of mapping hardware algorithms to efficient C/C++ code.
Master's or PhD degree in Electrical Engineering, Computer Engineering or related field.
Domain knowledge in one or more of power/performance tradeoffs, digital signal processing, ML networks, ML frameworks such as Pytorch.
Knowledge of GPU or AI accelerator architectures.",N/A,N/A,https://rr.jobsyn.org/D23319D7F47A4C5B9928C1D47F37400B10
ASIC Design Engineer,"Bangalore, IND",Posted 6 days ago,Summary:,"Micro-architecture development.
RTL development using Verilog, System Verilog and HLS.
Lint, CDC, Synthesis, & Power Optimization.
Soft and hard IP identification, selection and integration.
Collaboration with verification and emulation teams in test plan development and debug.
Collaboration with implementation team to close the design on timing and power.
3+ years of silicon development experience.
Experience with Verilog or System Verilog.
Experience etiher Micro-architecture or RTL development for complex control or data path IPs, or Experience in SoC Micro-architecture, Design and Integration, or Implementation, Power methodology development.
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.
Experience in data path development.
Experience with Synthesis and Timing Closure.",N/A,N/A,https://rr.jobsyn.org/2013904B5A5043F780A80273FA442F2110
Solutions Architect,"Gurgaon, IND",Posted 9 days ago,Summary:,"Act as a technical consultant on Meta's messaging enterprise and marketing technology solutions for some of the most largest companies in the world
Guide our clients to the most optimal implementations by illustrating technical details of Meta's platform and products
Work closely with sales teams to unlock and develop new opportunities by developing an understanding on business goals and industry trends
Impact the industry through technology by participating in industry conferences and presenting to executive-level audience
Travel Requirement: 20%
Combined experience as an Engineer, Solutions Architect, Technical Consultant, or Partner/Sales Engineer
Experience working with software systems including querying, SQL scripting, and working with APIs
Experience collaborating with technical and business audience at prospects or clients
Experience with web, mobile, or messaging enterprise technology stack
Experience demonstrating knowledge of industry technology areas and trends
Technical Degree (Science, Technology, Engineering, Mathematics) or equivalent industry experience
Experience deploying large partner integration projects
Technical understanding of the Meta Platform",N/A,N/A,https://rr.jobsyn.org/970879AFEFDA440988F760BB214C432710
Network Implementation Engineer,"Mumbai, IND",Posted 17 days ago,Summary:,"Build and manage a portfolio of fiber infrastructure suppliers to ensure transparency with project management and information flow
Manage fiber acceptance testing and validation for performance characteristics
Collaborate with cross-functional teams to manage metric-driven supplier quarterly business reviews to evaluate in-life performance and opportunities for improvement
Report on key metrics for infrastructure projects: On-time performance, Vendor performance, Monthly and yearly activated services and financial performance
Collaborate with Network Development Managers and ensure key technical requirements are included during the pre-contract forming phase
Keep abreast of technological developments in the telecom wholesale market and position Meta in the right place.
Collaborate across cross-functional teams to synchronize fiber deployment schedule with fiber acceptance
Work with data located in different systems, correlate data and build datasets to be used across different tools/systems
Identify internal system workflow improvements to define the requirements for development improvements
Travel up to 25% of the time
BA, BSc, BEng or equivalent in technical or related field with at least 5 years of relevant experience in network deployment fiber projects
Experience in terrestrial fiber network design and technology
Certification or a proven track record in project management techniques and tools (e.g. Project Management Professional)
Demonstrated understanding of fiber specs, interpretation of Optical Time-Domain Reflectometry (OTDR) traces, and fiber handover packages
Experience engaging vendors on aspects of network design, planning and construction, particularly in India
Experience in relationship building and collaboration within a cross-functional team
Familiarity working with data in different tools and capacity to structure/clean data and create correlations
Capacity and willingness to travel up to 25% of the time
Experience in using scripts (Python, SQL), networking related software, frameworks, and APIs
Experience with long haul and metro networks
Demonstrates proven track record of major deal delivery (at multiple fiber pair scale) and familiarity with permitting and regulatory environment across the APAC region
Understanding of subsea systems and associated fiber technologies
Communicate in 1 or more regional business languages as the role requires communication with partners in local languages",N/A,N/A,https://rr.jobsyn.org/4BE997D400024429AA5CF1430123D50C10
"ASIC Engineer, Design","Bangalore, IND",Posted 23 days ago,Summary:,"Participate in Micro-architecture, Design, and Verification reviews and provide feedback.
Design and develop RTL or HLS code for some of the IPs.
Analyze designs and enhance PPA (Power, Performance, Area).
Support and develop Verification Infrastructure, analyze and improve Verification Coverage.
Support Simulation accelerators and post-Silicon validation.
Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, Electronics Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.
Exposure to Micro-architecture development.
Exposure to RTL development using Verilog, System Verilog or HLS.
Knowledge of Computer Architecture and Logic Design fundamentals.
Must obtain work authorization in the country of employment at the time of hire and maintain ongoing work authorization during employment.
Currently has, or is in the process of obtaining, a Masters degree in Electrical Engineering, Computer Engineering or related engineering fields.
Experience in data path development.
Experience in HLS.
Experience with Lint, CDC, Synthesis, & Power Optimization.
Experience with High Performance Computing.
Scripting capability with Python or Perl.",N/A,N/A,https://rr.jobsyn.org/795E666104EB4AA8B3F70CDAD4C53DD010
"ASIC Engineer, Design Verification","Bangalore, IND",Posted 23 days ago,Summary:,"Develop functional tests based on verification test plan.
Drive Design Verification to closure based on defined verification metrics on test plan, functional and code coverage.
Debug, root-cause and resolve functional failures in the design, partnering with the design/arch team.
Collaborate with cross-functional teams like Design, Model, Emulation and Silicon validation teams towards ensuring the highest design quality.
Currently has, or is in the process of obtaining a Bachelor's degree in Electronics Engineering, Computer Engineering, Computer Science, VLSI, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.
Experience using constrained-random, coverage driven verification or C/C++ verification.
Experience in verifying a IP block using standard DV based techniques.
Experience in EDA tools and scripting (Python, TCL, Perl, Shell) used to build tools and flows for verification environments.
Understanding in at least one of the following areas: computer architecture, CPU, GPU, networking, interconnects, fabrics or similar designs.
Currently has, or is in the process of obtaining, a Master’s degree in Electronics Engineering, Computer Engineering, Computer Science or similar technical field.
Experience in development of SystemVerilog/UVM based verification environments from scratch.
Experience debugging fails to the line of RTL, closing out bug fixes, using Verdi or equivalent debug tools.
Experience in verification of any peripheral IPs like UART, SPI, I2C and exposure to protocols like APB, AXI
Experience working in a CPU/GPU environment.
Experience with revision control systems like Mercurial(Hg), Git or SVN.",N/A,N/A,https://rr.jobsyn.org/860CAA9F57C74C8F9EB80A12FF348A0110
"ASIC Engineer, Front-End Implementation","Bangalore, IND",Posted 25 days ago,Summary:,"Run Logic/Physical Synthesis using advanced optimization techniques and generate optimized Gate Level Netlist for Timing, Area, Power.
Debug the timing/area/congestion issues and work with RTL & Physical designers to resolve them.
Perform Power Estimation at RTL and Gate Level and identify power reduction opportunities.
Run Formal Verification checks between RTL and Gate level netlist and debug the aborts, inconclusive and Logic Equivalency failures.
Perform RTL Lint and work with the Designers to create waivers.
Perform RTL DFT Analysis and improve the DFT coverage for Stuck-at faults.
Develop Timing Constraints for RTL-Synthesis and PrimeTime-STA for the blocks and the top-level including SOC. Analyze the inter-block timing and come up with IO budgets for the various partition blocks.
Developing Automation scripts and Methodology for all FE-tools including (Lint, CDC, RDC, Synthesis, STA, Power).
Work closely with the Design Engineers, DV Engineers, Emulation Engineers in supporting them with the handoff tasks. Interact with Physical Design Engineers and provide them with timing/congestion feedback.
Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
Experience as a Front End Synthesis & Integration Engineer
Experience with RTL Synthesis and design optimization for Power, Performance, Area.
Knowledge of front-end and back-end ASIC tools.
Experience with RTL design using SystemVerilog or other HDL.
Experience managing multiple design releases and working with cross functional teams to support and debug timing, area, power issues.
Experience with communicating across functional internal teams and vendors.
Experience in SOC Design Integration and Front-End Implementation.
Knowledge of Physical Design flow such as Floorplanning, CTS, Routing
Knowledge of Timing/physical libraries, SRAM Memories.
Knowledge of STA signoff and understanding of AOCV, POCV
Experience with EDA tools and scripting languages (Python, TCL) used to build tools and flows
Experience with Design Compiler, Spyglass, PrimeTime, Formality or equivalent tools.",N/A,N/A,https://rr.jobsyn.org/E81817729CB947FEA17A3DF3C5A4BE2B10
