Job Title,Location,Date Posted,Description,Responsibilities,Minimum Qualifications,Preferred Qualifications,Apply Link
Principal Software Engineer,"Bangalore, Karnataka, India",2025-02-28,"The Security Platform team’s mission is to building cloud solutions to support premium features that provide security, compliance, data governance, data loss prevention, and more, in a fully integrated manner from services to clients of Office 365 as well as Windows.
We create global scale services to transport, store, secure and manage some of the most sensitive data on the planet and build our services on top of Azure, Exchange and other cloud platforms, and our experiences in Office applications like Outlook. The IDC arm of the team is expanding substantially and is looking for talented and highly motivated engineers. This is an excellent opportunity for anyone who has, or wants to build, expertise in cloud distributed systems, or in security and compliance, or both. The team will be building cloud solutions meeting scales that few companies in the industry are required to support, that leverage state of the art technologies to deliver holistic protection to a planet scale user base. Office 365 is the industry leader in hosted productivity suites and boasts of being the fastest growing business at Microsoft with more than 100 million seats hosted in multiple data centers across the globe.
The Security Platform team provides leadership, direction and accountability for application architecture, Cloud design, infrastructures development and end to end implementation. You will independently determine and develop architectural approaches and Infrastructure solutions, conduct business reviews, and operate our production services. Strong collaboration skills will be required to work closely with other engineering teams to ensure services/systems are highly stable and performant and meet the expectations of internal and external customers and users.
Interpersonal skills
Essential qualifications
• BS or MS degree in Computer Science or Engineering OR equivalent years of work experience.
• Minimum of 14+ years of applicable (Product engineering)work experience
#MSFTSecurity #SPE # SPDSCGP
We are looking for someone who is a highly motivated, self-starter who thrives in a bottoms-up, fast paced, highly technical environment, has a strong customer focus and understands the importance of Live Site, has a demonstrated ability to establish and manage relationships across organizational boundaries, has proven experience dealing with large scale data architecture, operational architecture and or network Architecture and proven experience creating distributed systems tools of moderate-to-high complexity. You will be responsible to perform investigations and investments in complex areas; designing and delivering features end to end - including system architecture, code, deployment, scale, performance and quality, from conception to delivery.
• Design and implement scalable, reliable, maintainable services.
• Demonstrate strategic understanding of the timing and rationale for design choices, within the scope of work.
• Mentoring and taking ownership for the team delivery
• Consistently contribute key ideas to the product or service design and vision that meets the customer's needs.
• Drive design and architecture reviews across the team and apply expertise in available technologies
• Apply metrics to drive the quality and stability of code.
• Have a sense of pride, commitment, and personal accountability for the service quality, completeness and resulting user experience for the life of the product or service
• Work closely with geographically distributed team, including Product Managers and developers, to drive key improvements in backend Engineering System.

We are looking for someone who shares our passion for building great software for enterprises. You will work in a forward-looking product as part of an agile, collaborative, and cross-discipline team.

As a Principal SWE, you will be responsible for all aspects of a feature area including Architecture, design, implementation, performance and quality. You will take such feature areas from ideation to successful global roll out. You will act as a code and design reviewer and mentor other engineers. You must be self-driven, proactive, and result-oriented.",No details provided,,,https://jobs.careers.microsoft.com/global/en/job/1811718/Principal-Software-Engineer
Software Engineer II,"Hyderabad, Telangana, India",2025-02-28,"The Data Security team’s mission is to building cloud solutions to support premium features that provide security, compliance, data governance, data loss prevention, and more, in a fully integrated manner from services to clients of Office 365 as well as Windows. We create global scale services to transport, store, secure and manage some of the most sensitive data on the planet and build our services on top of Azure, Exchange and other cloud platforms, and our experiences in Office applications like Outlook. The IDC arm of the team is expanding substantially and is looking for talented and highly motivated engineers. This is an excellent opportunity for anyone who has, or wants to build, expertise in cloud distributed systems, or in security and compliance, or both. 
Team will be building cloud solutions meeting scales that few companies in the industry are required to support, that leverage state of the art technologies to deliver holistic protection to a planet scale user base. Office 365 is the industry leader in hosted productivity suites and boasts to be the fastest growing business at Microsoft with more than 100 million seats hosted in multiple data centers across the globe. The SCM Engineering team provides leadership, direction and accountability for application architecture, Cloud
design, infrastructures development and end to end implementation.
You will independently determine and develop architectural approaches and Infrastructure solutions, conduct business reviews, and operate our production services. Strong collaboration skills will be required to work closely with other engineering teams to ensure services/systems are highly stable and performant and meet the expectations of internal and external customers and users. 
Expertise/Experience 
Interpersonal skills 
Essential qualifications 
We are looking for someone who is a highly motivated, self-starter who thrives in a bottoms-up, fast paced, highly technical environment, has a strong customer focus and understands the importance of Live Site, has a demonstrated ability to establish and manage relationships across organizational boundaries, has proven experience dealing with large scale data architecture, operational architecture and or network Architecture and proven experience creating distributed systems tools of moderate-to-high complexity. You will be responsible to perform investigations and investments in complex areas; designing and delivering features end to end - including system architecture, code, deployment, scale, performance and quality, from conception to delivery. ","Design and develop large scale distributed software services and solutions 
Develop “best-in-class” engineering for our services by ensuring that the services and the components are well-defined and modularized, secure, reliable, diagnosable, actively monitored and reusable.  
Consider testability, portability/monitoring, reliability, and maintainability, and understand when code is ready to be shared and delivered.  
Focus on customer/partner needs through a data driven approach.  
Troubleshoot and optimize automation, reliability, and monitoring for LiveSite.   
Adhere to modern engineering practices, effective coding, writing unit test cases, debugging, code reviewing and creating CI/CD (Continuous Integration/Continuous Delivery) pipelines.
Work across geographic and organizational boundaries to define requirements, scope work, develop features, integrate functionality, and meet key performance goals.
Own and drive projects with large scope and complicated features by working toward self-defined goals and milestones.
Have a sense of pride, commitment, and personal accountability for the service quality, completeness and resulting user experience for the life of the product or service ",,,https://jobs.careers.microsoft.com/global/en/job/1811957/Software-Engineer-II
Technical Support Engineering,"Bangalore, Karnataka, India",2025-02-28,"With over 17,000 employees worldwide, the mission of the Customer Experience & Success (CE&S) organization is to empower customers to accelerate business value through differentiated customer experiences that leverage Microsoft’s products and services, ignited by our people and culture. Come join CE&S and help us build a future where customers achieve their business outcomes faster with technology that does more.
Within CE&S, the Customer Service & Support (CSS) organization builds trust and confidence for every person and organization through delivering a seamless support experience. In CSS, we are powered by Microsoft’s AI technology to help consumers, businesses, partners, and more, resolve their issues quickly and securely, helping prevent future problems from occurring and achieving more from their Microsoft investment.
In the Customer Service & Support (CSS) team we are looking for people with a passion for delivering customer success. As a Technical Support Engineer, you will own, troubleshoot and solve customer technical issues. This opportunity will allow you to accelerate your career growth, hone your problem-solving, collaboration and research skills, and develop your technical proficiency.
This role is flexible in that you can work up to 50% from home.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Required Qualifications:
• Bachelor's degree in Computer Science, Information Technology (IT), or related field AND 1+ years of technical support, technical consulting experience, or information technology experience
o OR 3+ years of technical support, technical consulting experience, or information technology experience.
o OR equivalent experience
Language Qualification
English Language: fluent in reading, writing and speaking.
Experience in one or more of these areas desirable:
Automated installation of Windows
User Profile management
Windows Update management
Kerberos and delegation
Bitlocker administration
Windows Shell configuration and management
Windows Activation, Licensing
Remote Desktop Services configuration and management
Clustering
Printing configuration and management
Resilient Storage technology (clustering, storage spaces)
Server management tools
Hyper-V management and VM deployment
Application installation and management
Windows backup and VSS
PowerShell scripting
Active Directory topology and management
Network Tracing and analysis
Public Key Infrastructure (PKI) deployment, management
Remote File Systems (SMB)
Group Policy management
DNS deployment, management
Troubleshooting hangs and crashes in Windows
Network Virtualisation (Hyper-V, SDN)
Troubleshooting performance issues using PerfMon and other tools
Strong Experience in following technologies:
• Installation configuring / OS Upgradation & troubleshooting Windows 2008, Windows 10, Windows 2012 and Windows 2016 in standalone and server environment.
• OS installation setup phases.
• Windows patching / Windows servicing - ""windows update"" - Troubleshooting patching issues manually & via windows update, plus point if candidate knows CBS architecture & components.
• Windows activation - understanding and troubleshooting windows activation client/server and KMS (Key management service) - setup / configuration and troubleshooting as well.
• Bitlocker / MBAM - Basic knowledge of Bitlocker i.e. how does it work, command line parameters and troubleshooting Bitlocker issues. MBAM basic knowledge on setup and configuration, troubleshooting issues in MBAM.
• MDT / WDS - Basic knowledge on MDT / WDS it''s functionality and troubleshooting scenarios.
Ability to meet Microsoft, customer and / or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire / transfer and every two years thereafter.
• Response and Resolution: You own, investigate and solve customer technical issues, collaborating within and across teams and leveraging troubleshooting tools and practices.
• Readiness: You lead or participate in building communities with peer delivery roles and, where appropriate, share your knowledge.
• You develop specific technical and professional proficiency to enable you to resolve customer issues, through training and readiness.
• Product/Process Improvement: You identify potential product defects and escalate appropriately to resolve, contributing to Microsoft product improvements.",No details provided,,,https://jobs.careers.microsoft.com/global/en/job/1811875/Technical-Support-Engineering
Software Engineering,"Hyderabad, Telangana, India",2025-02-28,"Required Qualifications
Preferred Qualifications","Design, develop, deploy, and maintain code and infrastructure used across the system. 
Improve service fundamentals, including reliability, testing, capacity planning, performance, security, monitoring and maintainability. 
Participate in on-call rotation and improve in the live-site process and tools. 
Collaborate with teammates and partner teams to design technical solutions. 
Leverage, and contribute to, overall team technical knowledge. 
Build deep domain expertise on global infrastructure deployment technology and processes. 
Solve problems by leading with customer obsession",,,https://jobs.careers.microsoft.com/global/en/job/1811946/Software-Engineering
Principal Product Manager,"Bangalore, Karnataka, India",2025-02-28,"Security represents the most critical priorities for our customers in a world awash in digital threats, regulatory scrutiny, and estate complexity. Microsoft Security aspires to make the world a safer place for all. We want to reshape security and empower every user, customer, and developer with a security cloud that protects them with end to end, simplified solutions. The Microsoft Security organization accelerates Microsoft’s mission and bold ambitions to ensure that our company and industry is securing digital technology platforms, devices, and clouds in our customers’ heterogeneous environments, as well as ensuring the security of our own internal estate. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world.
Security represents the most critical priorities for our customers in a world awash in digital threats, regulatory scrutiny, and estate complexity. Microsoft Security aspires to make the world a safer place for all. We want to reshape security and empower every user, customer, and developer with a security cloud that protects them with end to end, simplified solutions. The Microsoft Security organization accelerates Microsoft’s mission and bold ambitions to ensure that our company and industry is securing digital technology platforms, devices, and clouds in our customers’ heterogeneous environments, as well as ensuring the security of our own internal estate. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world. Microsoft Copilot for Security empowers defenders to detect hidden patterns, harden defenses, and respond to incidents faster with generative AI.  The same platform also empowers IT Admins and Data Security admins to proactively protect the assets. While Generative AI has created a new set of possibilities, it’s also created a new set of challenges: hallucination, prompt injection, rapidly changing industry trends.  Our team is at the forefront of both the opportunities and the challenges for Microsoft Security.  We are looking for a Principal Product Manager for Security Copilot to execute strategic priorities, drive alignment across internal and external stakeholders, and design/define critical capabilities. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and empowering teams to maximize productivity. In doing so, we create life-changing innovations that impact billions of lives around the world. Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Bachelor's Degree AND 12+ years experience in product/service/project/program management or software development OR equivalent experience. Experience as a product manager in one of the cyber security, compliance, identity, and/or management markets.  Experience prioritizing an engineering team’s backlog, creating, and maintaining product requirements and coordinating activity across multiple stakeholder groups for mutual success.
Other Requirements Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: - This position will be required to pass the Microsoft background and Microsoft Cloud background check upon hire/transfer and every two years thereafter. Bachelor's Degree AND 10+ years experience in product/service/project/program management or software development OR equivalent experience. Experience in a rapidly-scaling space. Previous experience involving AI or Machine Learning.
Understand security customers and markets Develop strategy and build buy-in from cross-functional teams into your ideas Translate strategic plans into work involving cross-team collaboration.  Develop clear requirements and work closely with the software engineering team to meet product goals. Lead the execution of strategic initiatives you’ve championed",No details provided,,,https://jobs.careers.microsoft.com/global/en/job/1811065/Principal-Product-Manager
Principal Software Engineer,"Hyderabad, Telangana, India",2025-02-28,"Security represents the most critical priorities for our customers in a world awash in digital threats, regulatory scrutiny, and estate complexity. Microsoft Security aspires to make the world a safer place for all. We want to reshape security and empower every user, customer, and developer with a security cloud that protects them with end to end, simplified solutions.
The Microsoft Security organization accelerates Microsoft’s mission and bold ambitions to ensure that our company and industry is securing digital technology platforms, devices, and clouds in our customers’ heterogeneous environments, as well as ensuring the security of our own internal estate. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world.
Are you looking for an exciting opportunity to work on cutting-edge technology to build products and platform that has global scale of deployment and impact? Do you like to build cloud services to solve interesting security problems in order to protect critical cloud infrastructure? Do you want the experience of working in a startup team with potential for huge impact to the business and your career in near future? Do you dream of working alongside talented software engineers and passionate professionals and help build software and systems to protect the foundations of Microsoft Cloud, protecting Thousands of Enterprises and millions of users and Microsoft's key cloud assets.
Datacenter Cyber Security team is one of the core Security Software Development team focused on building tools, services and applications that ensure that the foundation of Microsoft cloud business has rock-solid security, meeting highest industry bar for quality, and is constantly evolving to counter the rapidly changing threat landscape.
We are looking for an experienced Principal Software Engineer who can help build a platform and services for Secure Devices management from the ground up. Successful candidates will be full stack developers who have expertise in building software systems with high-quality and scalability. The job role expects experience in cybersecurity products /systems design and development. You would be working in an exciting and fast-paced, diverse team environment, collaborating with multiple teams in Microsoft, building sophisticated security systems and Cloud services that protect industrial facilities and datacenters across the world. This is also a rare opportunity to build Enterprise software and services that require knowledge and experience in systems with hardware devices, networking elements and cloud services components.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond. In alignment with our Microsoft values, we are committed to cultivating an inclusive work environment for all employees to positively impact our culture every day.
Preferred Qualifitcations: 
#MSFTSecurity #Cybersecurity, #AzureSecurity","Design, review and develop systems and end to end solutions with high quality (availability, scalability extensibility, modularity, reliability, resilience) and security.
Undertake system analysis to identify challenges in software systems and take ownership to build and deploy solutions with high quality architecture, designs and implementation.
Lead and motivate passionate and talented engineers of the team in secure SDLC and continuous improvement in services to enhance quality, resilience and improved customer satisfaction.
Mentor new and junior engineers to bring them with software development principles and practices through effective software design patterns.
Proactive engagement with Partner/PM teams for analysis of Engineering requirements and collaboration with Engineering teams to drive and build solutions with right engineering design principles.",,,https://jobs.careers.microsoft.com/global/en/job/1811649/Principal-Software-Engineer
Senior Silicon Engineer,"Bangalore, Karnataka, India",2025-02-28,#SCHIEINDIA #AHSI,"Develop SystemVerilog/UVM based testbench. 
Work with vendors and IP providers to integrate their IP into testbench 
Develop and maintain test plans, test cases, and test scripts 
Execute test plans and analyze results 
Work closely with architecture, design and verification teams to ensure successful tapeout 
Participate in design and verification reviews 
Participate in the development of verification strategies and plans ",,,https://jobs.careers.microsoft.com/global/en/job/1796065/Senior-Silicon-Engineer
Senior Software Engineer - AI/ML,"Hyderabad, Telangana, India",2025-02-27,"Basic Qualifications:  
Preferred Qualifications: 
#BICJobs","Design, develop, and implement robust and scalable software applications that utilize generative AI techniques.
Integrate LLMs and NLP into software solutions for tasks such as content recommendations, summarization, translation, and retrieval.
Optimize generative AI models and their performance for specific use cases.
Help establish and drive the adoption of good coding standards and patterns. 
Help identify opportunities to improve and optimize existing systems using generative AI. 
Stay up-to-date with the latest trends and technologies in generative AI.
Other: Embody our Culture and Values",,,https://jobs.careers.microsoft.com/global/en/job/1811154/Senior-Software-Engineer---AI%2FML
Senior Product Manager,"Bangalore, Karnataka, India",2025-02-27,"Digital advertising is a $100 billion-dollar business today and forecasted to grow double digits in the coming years, making Microsoft Advertising one of the core ""big bets"" at Microsoft. Bing’s market share is growing, and our user reach is expanding. Monetizing this market share is key to our success. Microsoft Advertising has two-fold mission: 1. Enable Advertisers reach their audience and boost their business with BingAds suite of advanced and intelligent Ad solutions. 2. For a Search User, provide better ad experience by showing the most relevant ads. As part of the Microsoft Advertising team, we build products that delight our customers & consumers while helping them achieve their desired outcomes. Our team is responsible for internet scale systems, relevance algorithms, machine learning and data mining systems that implement, measure and understand the search user experience and feature engagement.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Required Qualifications:
Preferred Qualifications:
#MicrosoftAI","Partner across organizations to run market research, gather requirements, develop scenarios, deliver functional specifications, drive execution, manage GTM and drive product adoption.
Lead the team through agile development cycles, translating strategy into actionable requirements while fostering team growth and execution excellence.
Build a strong understanding of our customers, run data analysis and use your understanding to improve the experience and utility for our advertisers, publishers and users.
Analyze market trends, emerging innovations, and industry best practices to help build a product roadmap.",,,https://jobs.careers.microsoft.com/global/en/job/1808486/Senior-Product-Manager
Senior Data scientist,"Bangalore, Karnataka, India",2025-02-27,"How would you like to directly affect the lives of billions of humans? Would you like to be responsible for code running across tens of thousands of machines across datacenters around the world? What if you could multiply your impact by making developers around the world better? If you like building highly motivated and productive teams, we have got interesting opportunities for you.
Our team focuses on strategic workloads like M365 Copilot App, Outlook, Teams, Copilot Extensibility, and so on. In addition, the team obsesses about building next generation engineering infrastructure, tooling and process using AI for improving developer productivity and engineering efficiency. This provides every engineer with exceptional opportunities for rich learning, end-to-end ownership, autonomy, innovation and professional growth. 
Our team of Applied Scientists is chartered to tackle a wide variety of challenges, from building data ingestion to curating data for fine tuning to generating actionable insights to fine tune prompts to come up with evaluation metrics to make purpose-built SLMs to infuse AI in productivity scenarios to create AI tooling. Every member of this team is expected to collaborate with other teams across Microsoft that are building AI platforms, models and products. She is expected to lead the feature crews with a growth mindset for embracing and extending the rapidly evolving innovations and breakthroughs in this field.  
Microsoft is committed to Responsible AI and digital safety for all. Every member of the team is expected to work through these frameworks to preserve our commitment to responsible AI while innovating rapidly. She needs to be self-driven, proactive, results-oriented and ready to work with minimal ongoing direction to succeed in this environment of rapid changes and building products from grounds up. 
About the Org:
The M365 Core org in Bangalore plays a pivotal role in powering end user experiences (copilots and beyond) powered by highly relevant search capability leveraging M365 eco system.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Required Qualifications:  
Other Requirements:
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include but are not limited to the following specialized security screenings:
Preferred Qualifications;  
#M365CORE","5+ years of working in an AI research facility or working with software services / experiences infused with AI  
Strong customer focus and passion for doing the right thing for the customer 
Proven ability to establish trusted, effective relationships across diverse sets of stakeholders 
Excellent communication skills and cross group collaboration 
Ability to keep pace with rapid innovations in the field and to be creative to solve problems with no past techniques
Experience in developing / working with highly scalable classifiers, ranking algorithms, SLMs, LLMs, Finetuning with RLHF, etc. will be a plus. ",,,https://jobs.careers.microsoft.com/global/en/job/1788321/Senior-Data-scientist
