Job Title,Location,Date Posted,Description,Responsibilities,Minimum Qualifications,Preferred Qualifications,Apply Link
"Senior SDE, Amazon Q Business","IND, KA, Bangalore","December 23, 2024",Not Provided,Not Provided,"BASIC QUALIFICATIONS - 5+ years of non-internship professional software development experience - 5+ years of programming with at least one software programming language experience - 5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience - Experience as a mentor, tech lead or leading an engineering team","PREFERRED QUALIFICATIONS - 5+ years of full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations experience - Bachelor's degree in computer science or equivalent Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://www.amazon.jobs/applicant/jobs/2861419/apply
"Senior SDE, Amazon Q Business","IND, KA, Bangalore","November 20, 2024",Not Provided,Not Provided,"BASIC QUALIFICATIONS - 5+ years of non-internship professional software development experience - 5+ years of programming with at least one software programming language experience - 5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience - Experience as a mentor, tech lead or leading an engineering team","PREFERRED QUALIFICATIONS - 5+ years of full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations experience - Bachelor's degree in computer science or equivalent",https://www.amazon.jobs/applicant/jobs/2835574/apply
"Business Intelligence Engineer, Amazon Grocery Data and Tech","IND, KA, Bengaluru","February 4, 2025",Not Provided,Not Provided,"BASIC QUALIFICATIONS - 2+ years of analyzing and interpreting data with Redshift, Oracle, NoSQL etc. experience - Experience with data visualization using Tableau, Quicksight, or similar tools - Experience with one or more industry analytics visualization tools (e.g. Excel, Tableau, QuickSight, MicroStrategy, PowerBI) and statistical methods (e.g. t-test, Chi-squared) - Experience with scripting language (e.g., Python, Java, or R)","PREFERRED QUALIFICATIONS - Master's degree, or Advanced technical degree - Knowledge of data modeling and data pipeline design - Experience with statistical analysis, co-relation analysis Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://www.amazon.jobs/applicant/jobs/2891162/apply
"Data Centre Engineering Operations, BOM DCEO","IND, MH, Mumbai","October 7, 2024",Not Provided,Not Provided,"BASIC QUALIFICATIONS - At least two years of experience of Data Center operations and on-call support for Data Center facilities. - Degree in Engineering field (Electrical, Mechanical, Industrial) - An excellent understanding on the nature of mission critical systems (Data Centers, Hospitals, Power plants, military facilities, etc.). - The candidate needs to be a self-starter and independent worker. - Ability to solve problems at their root, stepping back to understand the broader context. - Ability to write and review accurate and complete support procedures, system documentation, and issue tracking entries. - Ability to prioritize in complex, fast-paced environment.","PREFERRED QUALIFICATIONS - An excellent understanding of the Electrical systems in critical Data Center operations that include but not limited to utility substation feeds, transformers, switchgear, VFI Class UPS, DRUPS, PDUs, ATS, STS, SLA/VRLA batteries and associated systems, diesel/gas turbine generators and related fuel systems, Surge Suppression, Active Harmonic Filtering, battery monitoring systems, branch circuit monitoring systems, SCADA systems. - An excellent understanding of the Mechanical systems in critical Data Center operations include but not limited to CRAC/CRAHs/AHUs, chillers, cooling towers, storage tanks, chemical system, heat exchangers, piping systems, pumps, valves, duct systems, fans, dampers. - An excellent understanding of other facilities systems used in Data Centers and Mission critical facilities, including but not limited to fire detection and suppression systems, plumbing and drainage systems, Building Monitoring Systems, automatic control systems. - An excellent understanding of design, procurement, suitability of application, testing and commissioning. Certifications/Accreditations that will be viewed positively: PMP; Prince2; ITIL v2/3; BICSI; ASHRAE, CDCP/S/E or equivalent Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://www.amazon.jobs/applicant/jobs/2797032/apply
"Software Development Engineer II, Amazon B2B Payments and Lending (ABPL)","IND, KA, Bengaluru","January 31, 2025",Not Provided,Not Provided,"BASIC QUALIFICATIONS - 3+ years of non-internship professional software development experience - 2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience - Experience programming with at least one software programming language","PREFERRED QUALIFICATIONS - 3+ years of full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations experience - Bachelor's degree in computer science or equivalent Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://www.amazon.jobs/applicant/jobs/2888754/apply
"Application Engineer, RBS TECH","IND, KA, Bengaluru","February 20, 2025",Not Provided,Not Provided,"BASIC QUALIFICATIONS - 2+ years of software development, or 2+ years of technical support experience - Experience troubleshooting and debugging technical systems - Experience in Unix - Experience scripting in modern program languages - Experience in building complex QSD(Quick Site Dashboard) , Writing Cradle Queries, Good knowledge of PySpark and SQL","PREFERRED QUALIFICATIONS - Knowledge of web services, distributed systems, and web application development - Strong understanding of support processes SLA, handling tickets, monitoring, processes and metrics. - Hands on experience in Cloud technology is plus. - Hands on experience distributed applications/enterprise applications is plus. - Experience in developing automated solutions Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://www.amazon.jobs/applicant/jobs/2906825/apply
"Application Engineer, RBS TECH","IND, KA, Bengaluru","February 14, 2025",Not Provided,Not Provided,"BASIC QUALIFICATIONS - 2+ years of software development, or 2+ years of technical support experience - Experience troubleshooting and debugging technical systems - Experience in Unix - Experience scripting in modern program languages - Knowledge of Python, PySpark, Big Data and SQL Queries","PREFERRED QUALIFICATIONS - Knowledge of web services, distributed systems, and web application development - Experience with REST web services, XML, JSON Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://www.amazon.jobs/applicant/jobs/2901973/apply
"Support Engineer (L4), Amazon Payments","IND, KA, Bengaluru","February 20, 2025",Not Provided,Not Provided,"BASIC QUALIFICATIONS - 2+ years of software development, or 2+ years of Application support experience - Experience scripting in modern program languages (Java, Python) - Experience troubleshooting and debugging technical systems and documenting findings","PREFERRED QUALIFICATIONS - Knowledge of web services, distributed systems, and web application development - Knowledge of AWS - Knowledge of UNIX/Linux operating system - Experience in troubleshooting and maintaining web services e2e Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://www.amazon.jobs/applicant/jobs/2906922/apply
"Software Dev Engineer - II, Amazon","IND, KA, Bengaluru","December 12, 2024",Not Provided,Not Provided,"BASIC QUALIFICATIONS - 3+ years of non-internship professional software development experience - 2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience - 3+ years of Video Games Industry (supporting title Development, Release, or Live Ops) experience - Experience programming with at least one software programming language","PREFERRED QUALIFICATIONS - 3+ years of full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations experience - Bachelor's degree in computer science or equivalent Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://www.amazon.jobs/applicant/jobs/2851667/apply
"Support Engineer (L4), Amazon Payments","IND, KA, Bengaluru","February 20, 2025",Not Provided,Not Provided,"BASIC QUALIFICATIONS - 2+ years of software development, or 2+ years of Application support experience - Experience scripting in modern program languages (Java, Python) - Experience troubleshooting and debugging technical systems and documenting findings","PREFERRED QUALIFICATIONS - Knowledge of web services, distributed systems, and web application development - Knowledge of AWS - Knowledge of UNIX/Linux operating system - Experience in troubleshooting and maintaining web services e2e Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.",https://www.amazon.jobs/applicant/jobs/2906922/apply
